Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Cheshire West and Chester Council,Barnton Library,Townfield Lane,Northwich,Cheshire,CW8 4LJ,100012604936,Yes,LAL,,,14:00-19:00,,14:00-19:00,10:00-17:00,14:00-17:00,10:00-13:00,,,,,,,,,,No,,,,barnton.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Bishops' High Library,Vaughans Lane,Chester,Cheshire,CH3 5XF,,No,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
Cheshire West and Chester Council,Blacon Library,"Parade Enterprise Centre, 14 The Parade",Chester,Cheshire,CH1 5QY,10091641127,Yes,LAL,2015,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:00-17:00,09:30-13:00,,,,,,,,,,Yes,Avenue Services,,,blacon.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Chester Library at Storyhouse,Hunter Street,Chester,Cheshire,CH1 2AR,100012566709,Yes,LAL,2017,,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,09:30-18:00,,,,,,,,,Yes,Storyhouse,,,library@storyhouse.com
Cheshire West and Chester Council,Ellesmere Port Library,Civic Way,Ellesmere Port,Cheshire,CH65 0BG,100012593564,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-17:00,09:00-19:00,09:00-19:00,09:00-13:00,,,,,,,,,,No,,,,ellesmereport.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Elton Library,Elton Community Centre,Elton,Cheshire,CH2 4PU,200000990231,No,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
Cheshire West and Chester Council,Frodsham Library,Princeway,Frodsham,Cheshire,WA6 6RX,10091139782,Yes,LAL,2013,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:30-13:00,,,,,,,,,,Yes,Brio Leisure Services,,,frodsham.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Great Boughton Library,Green Lane,Chester,Cheshire,CH3 5LB,10012217914,Yes,LAL,,,09:30-19:00,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-13:00,,,,,,,,,,No,,,,greatboughton.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Helsby Library,Lower Robin Hood Lane,Helsby,Cheshire,WA6 0BW,100012807271,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-19:00,,09:30-17:00,09:30-13:00,,,,,,,,,,No,,,,helsby.library@cheshirewestandchester.gov.uk
Cheshire West and Chester Council,Hoole Library,"Hoole Community Centre, Westminster Road",Hoole,Cheshire,CH2 3AU,,Yes,CRL,2013,,14:00-19:00,14:00-17:00,,14:00-17:00,,10:00-13:00,,,,,,,,,,Yes,Hoole Community Development Trust,,,libraries@cheshirewestandchester.gov.uk
