Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Derby City Council,Allenton,Poole Street,Derby,Derbyshire,DE24 9DA,,No,CRL,,,10:00-16:30,,10:00-17:00,,10:00-16:30,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby City Council,Allestree,"Park Farm Centre, Birchover Way",Allestree,Derbyshire,DE22 2QN,,No,CRL,,,,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Alvaston,1252-1254 London Road,Derby,Derbyshire,DE24 8QP,,Yes,LAL,,,13:00-17:00,09:30-17:00,,09:30-19:00,09:30-17:00,09:30-13:00,,,,,,,,,,No,,,http://www.derby.gov.uk/libraries,alvaston.library@derby.gov.uk
Derby City Council,Blagreaves,Blagreaves Lane,Derby,Derbyshire,DE23 1PT,,No,CRL,,,10:00-17:00,10:00-17:00,10:00-15:00,10:00-17:00,,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Chellaston,Barley Croft,Derby,Derbyshire,DE73 6TU,,No,CRL,2010,,10:00-16:30,10:00-16:30,,10:00-16:30,10:00-16:30,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby City Council,Derby Central,The Wardwick,Derby,Derbyshire,DE1 1HS,,No,LAL,,2018,,,,,,,,,,,,,,,,No,,,http://www.derby.gov.uk/libraries,
Derby City Council,Derwent Community Library (Located in the Revive Healthy Living Centre),"Revive Healthy Living Centre, Roe Farm Lane",Chaddesden,Derbyshire,DE21 6ET,,No,CRL,,,13:00-17:30,13:00-17:30,,10:00-17:30,10:00-13:30,,,,,,,,,,,Yes,Community / Health Centre,Due to be Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby City Council,Local Studies,25b Irongate,Derby,Derbyshire,DE1 3GL,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Derby City Council,Local Studies & Family History Library,"Riverside Chambers, Full Street",Derby,Derbyshire,DE1 3AF,,Yes,LAL,2014,,09:30-13:00,09:30-13:00,,09:30-19:00,09:30-16:00,10:00-13:00,,,,,,,,,,No,,,http://www.derby.gov.uk/libraries,localstudies.librar@derby.gov.uk
Derby City Council,Mackworth,Prince Charles Avenue,Derby,Derbyshire,DE22 4BG,,No,CRL,2010,,10:00-17:00,10:00-16:30,,10:00-16:30,,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Mickleover,Holly End Road, Derby,Derbyshire,DE3 0GA,,Yes,LAL,,,13:00-17:00,10:00-17:00,,10:00-19:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,http://www.derby.gov.uk/libraries,mickleover.library@derby.gov.uk
Derby City Council,Normanton,"St. Augustine's Community Centre, Almond Street",Derby,Derbyshire,DE23 6LX,,Yes,LAL,2019,,09:30-17:00,,09:30-19:00,13:00-17:00,09:30-17:00,09:30-13:00,,,,,,,,,,No,Community Centre,,,normanton.library@derby.gov.uk
Derby City Council,Pear Tree,Pear Tree Road,Derby,Derbyshire,DE23 8NQ,,No,LAL,,2018,,,,,,,,,,,,,,,,No,,,http://www.derby.gov.uk/libraries,
Derby City Council,Phillip Whitehead Memorial Library,Chaddesden Lane,Derby,Derbyshire,DE21 6LN,,Yes,CRL,,2013,,,,,,,,,,,,,,,,No,,,,
Derby City Council,Phillip Whitehead Memorial Library,Chaddesden Lane,Derby,Derbyshire,DE21 6LN,,No,CRL,,,,10:00-17:00,10:00-16:30,,10:00-16:30,,00:00,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Riverside Library,"Council House, Corporation Street",Derby,Derbyshire,DE1 2FS,,Yes,LAL,2018,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,09:00-13:00,,,,,,,,,,Yes,Council House building,,https://www.inderby.org.uk/libraries/our-libraries/riverside-library/,riverside.library@derby.gov.uk
Derby City Council,Sinfin,"District Centre, Arleston Lane",Sinfin,Derbyshire,DE24 3DS,,No,CRL,,,10:00-16:30,,10:00-16:30,10:00-16:30,10:00-16:30,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Spondon,Sitwell Street,Derby,Derbyshire,DE21 7FG,,No,CRL,,,10:00-16:30,10:00-16:30,,10:00-16:30,10:00-16:30,,,,,,,,,,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby City Council,Springwood (In the Springwood Sports Centre),Springwood Drive,Derby,Derbyshire,DE21 2RQ,,No,CRL,,,,13:00-17:00,10:00-19:00,13:00-17:00,,10:00-13:00,,,,,,,,,,Yes,Sports Centre,Due to be Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
