Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Dorset Council,Beaminster,6 Fleet Street,Beaminster,Dorset,DT8 3EF,100041122709,No,LAL,,,14:30-18:30,09:30-12:00,,09:30-17:00,09:30-12:00,09:30-12:00,,,,,,,,,,No,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=12b630b1-4eca-45eb-98bd-d58b4dc1a970,beaminsterlibrary@dorsetcouncil.gov.uk
Dorset Council,Blandford,The Tabernacle,Blandford,Dorset,DT11 7DW,100041047781,No,LAL,,,10:00-18:30,09:30-17:00,,09:30-18:30,09:30-13:00,09:30-16:00,,,,,,,,,,No,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=bb3b8420-2d73-4be2-93f1-51a7f1a38f79,blandfordlibrary@dorsetcouncil.gov.uk
Dorset Council,Bridport,South Street,Bridport,Dorset,DT6 3NY,100041121375,Yes,LAL,,,10:00-17:30,09:30-12:30,09:30-18:30,,09:30-18:30,09:30-16:00,,,,,,,,,,No,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=fa163b5d-4ae2-482d-a5a6-56d7fcbb764e,bridportlibrary@dorsetcouncil.gov.uk
Dorset Council,Burton Bradstock,The Old Wesleyan Chapel,Bridport,Dorset,DT6 4QR,100041121589,No,CRL,,,15:00-17:00,10:00-12:00,15:00-17:00,15:00-17:00,15:00-17:00,10:00-12:00,,,,,,,,,,No,,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=fa163b5d-4ae2-482d-a5a6-56d7fcbb764e
Dorset Council,Charmouth,The Street,Charmouth,Dorset,DT6 6PE,,No,CRL,,,14:00-17:00,14:00-17:00,14:00-17:00,10:00-13:00,10:00-13:00,10:30-12:30,,,,,,,,,,No,,,,
Dorset Council,Chickerell,East Street,Weymouth,Dorset,DT3 4DT,,No,CRL,,,,09:30-12:30,09:30-12:30,14:00-16:30,14:00-16:30,09:30-12:30,,,,,,,,,,No,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=60cfb8b4-fb1d-4fec-841e-3a09505f1d9a,
Dorset Council,Colehill,Middlehill Road,Wimborne,Dorset,BH21 2HL,,No,CRL,,,14:00-17:00,09:30-17:00,,14:00-17:00,14:00-18:30,09:30-12:30,,,,,,,,,,No,,,,ccl.colehill@gmail.com
Dorset Council,Corfe Castle,East Street,Wareham,Dorset,BH20 5EE,100041099145,No,CRL,,,14:30-16:30,,11:00-17:00,,,10:00-12:00,,,,,,,,,,No,,,,corfecastlelibrary@gmail.com
Dorset Council,Corfe Mullen Library & Children's Centre,54 Wareham Road,Wimborne,Dorset,BH21 3LE,100041050472,Yes,LAL,,,10:30-17:30,,14:00-17:30,,10:00-19:00,10:00-12:30,,,,,,,,,,Yes,Childrens Centre,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=84c73bfc-4406-4398-9ab4-44eea5b65b2e,corfemullenlibrary@dorsetcouncil.gov.uk
Dorset Council,Crossways,Old Farm Way,Dorchester,Dorset,DT2 8TU,100041117853,Yes,LAL,,,14:30-17:00,10:00-17:00,14:30-17:00,10:00-12:00,15:30-18:00,10:00-12:00,,,,,,,,,,No,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/library.aspx?l=62f8eb2c-36d9-40ed-90eb-921fedf9e6b2,crosswayslibrary@dorsetcouncil.gov.uk
