Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Dumfries and Galloway Council,Annan Library,Charles Street ,,Annan,DG12 5AG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Dumfries and Galloway Council,Castle Douglas Library & Customer Service Centre,Market Hill ,,King Street ,DG7 1AE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15395/DG-Customer-Services---Castle-Douglas,
Dumfries and Galloway Council,Dalbeattie Library & Customer Service Centre,High Street,,Dalbeattie,DG5 4AD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15396/DG-Customer-Services---Dalbeattie,
Dumfries and Galloway Council,Dalry Library,Main Street,,St John's Town of Dalry,DG7 3UP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15397/DG-Customer-Services---Dalry-Library,
Dumfries and Galloway Council,Eastriggs Library,Eastriggs Community School ,,Eastriggs,DG12 6PZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15399/DG-Customer-Services---Eastriggs,
Dumfries and Galloway Council,Ewart Library & Customer Service Centre,Catherine Street,,Dumfries,DG1 1JB,137025391,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15398/DG-Customer-Services---Ewart-Library-Dumfries,
Dumfries and Galloway Council,Gatehouse Library,63 High Street,,Gatehouse of Fleet,DG7 2HS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15400/DG-Customer-Services---Gatehouse-Library,
Dumfries and Galloway Council,Georgetown Library,Gillbrae Road ,,Dumfries,DG1 4EJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15401/DG-Customer-Services---Georgetown-Dumfries,
Dumfries and Galloway Council,Gretna Library & Customer Service Centre,Central Avenue ,,Gretna ,DG16 5AQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15402/DG-Customer-Services---Gretna,
Dumfries and Galloway Council,Kirkconnel Library,Greystone Avenue,,Kelloholm,DG4 6RA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15579/DG-Customer-Services---Kirkconnel,
Dumfries and Galloway Council,Kirkcudbright Library,Sheriff Court House,,Kirkcudbright,DG6 4JW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15391/DG-Customer-Services---Kirkcudbright,
Dumfries and Galloway Council,Langholm Library & Customer Service Centre,Market Place,,Langholm,DG13 0JQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15404/DG-Customer-Services---Langholm,
Dumfries and Galloway Council,Lochmaben Library & Customer Service Centre,Town Hall,,High Street ,DG11 1NQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15405/DG-Customer-Services---Lochmaben,
Dumfries and Galloway Council,Lochside Library,Lochside Road ,,Dumfries ,DG2 0LW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15580/DG-Customer-Services---Lochside-Dumfries,
Dumfries and Galloway Council,Lochthorn Library,Lochthorn ,,Dumfries,DG1 1UF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15581/DG-Customer-Services---Lochthorn-Dumfries,
Dumfries and Galloway Council,Lockerbie Library & Customer Service Centre,31-33 High Street,,Lockerbie,DG11 2JL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15577/DG-Customer-Services---Lockerbie,
Dumfries and Galloway Council,Moffat Library,High Street,,Moffat,DG10 9HF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15578/DG-Customer-Services---Moffat,
Dumfries and Galloway Council,Newton Stewart Library & Customer Service Centre,Church Street ,,Newton Stewart,DG8 6ER,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15584/DG-Customer-Services---Newton-Stewart,
Dumfries and Galloway Council,Port William Library,Maxwell Hall,,Main Street,DG8 9SD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15585/DG-Customer-Services---Port-William,
Dumfries and Galloway Council,Sanquhar Library,106 High Street,,Sanquhar,DG4 6DZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15392/DG-Customer-Services---Sanquhar,
Dumfries and Galloway Council,Stranraer Library & Customer Service Centre,North Strand Street,,Stranraer,DG9 7LD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15586/DG-Customer-Services---Stranraer,
Dumfries and Galloway Council,Thornhill LIbrary,Townhead Street,,Thornhill,DG3 5NW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.dumgal.gov.uk/article/15583/DG-Customer-Services-Thornhill,
Dumfries and Galloway Council,Whithorn Library,St John's Street,,Whithorn,DG8 8PF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15587/DG-Customer-Services---Whithorn,
Dumfries and Galloway Council,"Wigtown, John McNellie Library",Wigtown County Buildings,,Wigtown,DG8 9JH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15588/DG-Customer-Services---John-McNellie-Library-Wigtown,
