Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
East Sussex County Council,Battle Library,7 Market Square,Battle,East Sussex,TN33 0XB,10002662118,Yes,LAL,,,,10:00-16:00,10:00-13:00,11:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,Major refurb in 2017,https://new.eastsussex.gov.uk/libraries/locations/battle/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Bexhill Library,Western Road,Bexhill on Sea,East Sussex,TN40 1DY,100062588403,Yes,LAL,,,10:00-13:00,10:00-16:00,13:30-17:00,11:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/bexhill/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Crowborough Library,Pine Grove,Crowborough,East Sussex,TN6 1DH,10033417558,Yes,LAL,,,12:30-17:00,10:00-17:00,10:00-14:00,11:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,Yes,,Major refurb in 2019,https://new.eastsussex.gov.uk/libraries/locations/crowborough/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Eastbourne Library,Grove Road,Eastbourne,East Sussex,BN21 4TL,100062251887,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-13:00,10:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,Major refurb in 2019,https://new.eastsussex.gov.uk/libraries/locations/eastbourne/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Forest Row Library,"The Community Centre, Hartfield Road",Forest Row,East Sussex,RH18 5DZ,100062488168,Yes,LAL,,,14:00-17:00,,10:00-13:00,14:00-17:00,,10:00-13:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/forestrow/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Hailsham Library,Western Road,Hailsham,East Sussex,BN27 3DN,100062258850,Yes,LAL,,,12:00-17:00,12:00-17:00,,10:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/hailsham/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Hampden Park Library,Brodrick Close,Eastbourne,East Sussex,BN22 9NQ,10010663587,Yes,LAL,,,"10:00-13:00,14:00-17:00",10:00-13:00,,"10:00-13:00,14:00-17:00",14:00-17:00,10:00-16:30,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/hampdenpark/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Hastings Children's Library,Robertson Passage (Off Robertson Street) ,Hastings,East Sussex,TN34 1HL,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,This Building closed as colocated with Main Library,,,
East Sussex County Council,Hastings Library,"Brassey Institute, 13 Clarmont",Hastings,East Sussex,TN34 1HE,100062570460,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-13:00,10:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,Complete refurb in 2017/18,https://new.eastsussex.gov.uk/libraries/locations/hastings/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Heathfield Library,21 High Street,Heathfield,East Sussex,TN21 8LU,100062556334,Yes,LAL,,,10:00-13:00,10:00-17:00,,14:00-18:00,10:00-16:00,10:00-13:00,,,,,,,,,,No,,Major refurb in 2019,https://new.eastsussex.gov.uk/libraries/locations/heathfield/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Hollington Library,96 Battle Road,St. Leonards-on-Sea,East Sussex,TN37 7AG,10002503230,Yes,LAL,,,10:00-13:00,10:00-16:00,,10:00-17:00,10:00-13:00,10:00-13:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/hollington/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Langney Library,"Langney Shopping Centre, 110 Kingfisher Drive",Eastbourne,East Sussex,BN23 7RT,,Yes,ICL,,2018,,,,,,,,,,,,,,,,No,,Community group have opened library nearby,,
East Sussex County Council,Lewes Library,"Styles Field, Friars Walk",Lewes,East Sussex,BN7 2LZ,10033256035,Yes,LAL,,,10:00-14:00,10:00-17:00,,10:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,Major refurb in 2019,https://new.eastsussex.gov.uk/libraries/locations/lewes/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Mayfield Library,"Mayfield CofE School, Fletching Street",Mayfield,East Sussex,TN20 6TA,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
East Sussex County Council,Newhaven Library,36-38 High Street,Newhaven,East Sussex,BN9 9PD,,Yes,LAL,,1900,,,,,,,,,,,,,,,,No,,,,
East Sussex County Council,Newhaven Library,36-38 High Street,Newhaven,East Sussex,BN9 9PD,100062276170,Yes,LAL,,,10:00-13:00,10:00-16:30,,10:00-16:30,13:00-16:30,10:00-16:30,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/newhaven/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Northiam Village Library,"Village Hall, Frewen Close",Rye,East Sussex,TN31 6AF,,No,CRL,,,,,,,,,,,,,,,,,,No,,,,https://northiamparishcouncil.org/directory/listing/northiam-library/
East Sussex County Council,Ore Library,Old London Road,Hastings,East Sussex,TN35 5BP,,No,ICL,,,,10:00-16:00,,10:00-16:00,,10:00-16:00,,,,,,,,,,No,,,https://orecommunitylibrary.org.uk/,orecommunitylibrarygroup@gmail.com
East Sussex County Council,Peacehaven Library,Meridian Centre,Peacehaven,East Sussex,BN10 8BB,10033250346,Yes,LAL,,,,10:00-17:00,,10:00-18:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/peacehaven/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Pevensey Bay Library,"Wallsend House, Richmond Road ",Eastbourne,East Sussex,BN24 6AU,100062255614,No,ICL,,,,,,,,,,,,,,,,,,No,,Now operating as ICL,,https://en-gb.facebook.com/PevenseyCommunityLibrary
East Sussex County Council,Polegate Library,Windsor Way,Polegate,East Sussex,BN26 6QF,,No,LAL,,2018,,,,,,,,,,,,,,,,No,,Soon to reopen as ICL,,
East Sussex County Council,Ringmer Library,"The Village Hall, Lewes Road",Lewes,East Sussex,BN8 5QH,10033248189,No,ICL,,,,,,,,,,,,,,,,,,No,,Now operating as ICL,,https://ringmervillagehall.chessck.co.uk/ringmerlibrary
East Sussex County Council,Rye Library,30 High Street,Rye,East Sussex,TN31 7JG,200001880915,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-13:00,10:00-17:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,,https://new.eastsussex.gov.uk/libraries/locations/rye/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Seaford Library,15-17 Sutton Park Road,Seaford,East Sussex,BN25 1QX,10033266271,Yes,LAL,2016,,14:00-17:00,10:00-17:00,10:00-13:00,11:00-18:00,10:00-17:00,10:00-16:30,,,,,,,,,,No,,New building 2016,https://new.eastsussex.gov.uk/libraries/locations/seaford/,https://www.eastsussex.gov.uk/libraries/form-enquiry
East Sussex County Council,Sedlescombe Village Library,Church Hill,Battle,East Sussex,TN33 0QW,10002664893,No,CRL,,,,,,,,,,,,,,,,,,No,,,,https://www.sedlescombevillagehall.org.uk/
