Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Essex County Council,Basildon Library,"The Basildon Centre, St. Martin's Square",Basildon,Essex,SS14 1EE,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,DWP/CAB,Peppercorn rent,,basildon.library@essex.gov.uk
Essex County Council,Billericay Library,143 High Street,Billericay,Essex,CM12 9AB,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,billericay.library@essex.gov.uk
Essex County Council,Braintree Library,Fairfield Road,Braintree,Essex,CM7 3YL,100091450223,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,braintree.library@essex.gov.uk
Essex County Council,Brentwood Library,New Road,Brentwood,Essex,CM14 4BP,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,No,,,,brentwood.library@essex.gov.uk
Essex County Council,Brightlingsea Library,New Street,Colchester,Essex,CO7 0BZ,,Yes,LAL,,,,14:00-18:30,10:00-17:00,10:00-13:00,14:00-18:30,10:00-16:00,,,,,,,,,,No,,,,brightlingsea.library@essex.gov.uk
Essex County Council,Broomfield Library,180 Main Road,Chelmsford,Essex,CM1 7AH,,Yes,LAL,,,13:00-17:00,,09:00-13:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,broomfield.library@essex.gov.uk
Essex County Council,Buckhurst Hill Library,165 Queens Road,Buckhurst Hill,Essex,IG9 5AZ,,Yes,LAL,,,09:30-17:00,09:00-17:00,09:30-17:00,09:00-17:00,,09:00-17:00,,,,,,,,,,No,,,,buckhurst.library@essex.gov.uk
Essex County Council,Burnham-on-Crouch Library,103 Station Road,Burnham-on-Crouch,Essex,CM0 8HQ,,Yes,LAL,,,,10:00-16:00,,10:00-16:00,10:00-16:00,10:00-16:00,,,,,,,,,,No,,,,burnham.library@essex.gov.uk
Essex County Council,Canvey Island Library,3 High Street,Canvey Island,Essex,SS8 7RB,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,canvey.library@essex.gov.uk
Essex County Council,Chelmsford Library,"PO Box 882, Market Road",Chelmsford,Essex,CM1 1LH,10015241992,Yes,LAL,,,09:00-18:00,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-17:30,13:00-16:00,,,,,,,,,No,,,,chelmsford.library@essex.gov.uk
Essex County Council,Chigwell Library,Hainault Road,Chigwell,Essex,IG7 6QX,,Yes,LAL,,,,09:30-18:00,,09:30-13:00,13:30-18:00,09:30-17:00,,,,,,,,,,No,,,,chigwell.library@essex.gov.uk
Essex County Council,Chipping Ongar Library,"The Pleasance, High Street",Chipping Ongar,Essex,CM5 9AB,,Yes,LAL,,,,09:00-18:00,09:00-18:00,,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,chipping.ongarlibrary@essex.gov.uk
Essex County Council,Clacton Library,Station Road,Clacton-on-Sea,Essex,CO15 1SF,100091463460,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,clacton.library@essex.gov.uk
Essex County Council,Coggeshall Library,"The Friends' Meeting House, Stoneham Street",Colchester,Essex,CO6 1UH,,Yes,LAL,,,,13:00-17:00,,09:00-13:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,,coggeshall.library@essex.gov.uk
Essex County Council,Colchester Library,Trinity Square,Colchester,Essex,CO1 1JB,100091455788,Yes,LAL,,,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-17:30,13:00-16:00,,,,,,,,,Yes,Essex Cares/ Colchester Boriugh Council,,,colchester.library@essex.gov.uk
Essex County Council,Danbury Library,"18 Main Road, Danbury",Chelmsford,Essex,CM3 4NQ,,Yes,LAL,,,,,13:00-17:00,09:00-13:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,,danbury.library@essex.gov.uk
Essex County Council,Debden Library,"Epping Forest College, Borders Lane",Loughton,Essex,IG10 3SA,10022862711,Yes,LAL,,,,13:00-17:00,,13:00-17:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,,debden.library@essex.gov.uk
Essex County Council,Dunmow Library,47 White Hart Way,Dunmow,Essex,CM6 1FS,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,dunmow.library@essex.gov.uk
Essex County Council,Earls Colne Library,"William Hunt Reading Room & Library, 38 High Street",Earls Colne,Essex,CO6 2PA,,Yes,LAL,,,,13:00-17:00,,09:00-13:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,,earlscolne.library@essex.gov.uk
Essex County Council,Epping Library,St. John's Road,Epping,Essex,CM16 5DN,,Yes,LAL,,,09:00-17:30,09:00-17:30,,09:00-17:30,,09:00-17:30,,,,,,,,,,Yes,Virgin Care Services,Childrens Centre,,epping.library@essex.gov.uk
Essex County Council,Frinton Library,59 Old Road,Frinton-on-Sea,Essex,CO13 9DA,,Yes,LAL,,,,09:00-18:00,,09:00-18:00,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,CP DeBoer/ A.Poyser,2 separate partners,,frinton.library@essex.gov.uk
Essex County Council,Fryerns library,Whitmore Way,Basildon,Essex,SS14 2NN,,Yes,LAL,,,,10:00-16:00,,10:00-16:00,10:00-16:00,10:00-16:00,,,,,,,,,,No,,,,fryerns.library@essex.gov.uk
Essex County Council,Galleywood Library,Watchouse Road,Chelmsford,Essex,CM2 8PU,,Yes,LAL,,,,13:00-17:00,,09:00-13:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,,galleywood.library@essex.gov.uk
Essex County Council,Great Baddow Library,27 High Street,Chelmsford,Essex,CM2 7HH,,Yes,LAL,,,09:00-17:30,,09:00-17:30,09:00-17:30,,09:00-17:30,,,,,,,,,,No,,,,greatbaddow.library@essex.gov.uk
Essex County Council,Great Parndon Library,"Parnall Road, Staple Tye",Harlow,Essex,CM18 7PP,,Yes,LAL,,,09:00-18:00,,09:00-18:00,09:00-17:00,,09:00-17:00,,,,,,,,,,No,,,,greatparndon.library@essex.gov.uk
Essex County Council,Great Tarpots library,127 London Road,Benfleet,Essex,SS7 5UH,,Yes,LAL,,,09:00-17:30,09:00-17:30,,09:00-17:30,,09:00-17:30,,,,,,,,,,No,,,,greattarpots.library@essex.gov.uk
Essex County Council,Great Wakering Library,16 High Street,Southend-on-Sea,Essex,SS3 0EQ,,Yes,LAL,,,,09:00-13:00,,13:00-17:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,,greatwakering.library@essex.gov.uk
Essex County Council,Greenstead Library,Hawthorne Avenue,Colchester,Essex,CO4 3QE,,Yes,LAL,,,09:00-18:00,09:00-18:00,,09:00-17:00,,09:00-17:00,,,,,,,,,,Yes,Fred Heddel & Chris Profitt Independent Employment Advice,,,greenstead.library@essex.gov.uk
Essex County Council,Hadleigh Library,180 London Road,Benfleet,Essex,SS7 2PD,,Yes,LAL,,,09:00-17:30,09:00-17:30,,09:00-17:30,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,,hadleigh.library@essex.gov.uk
Essex County Council,Halstead Library,Bridge Street,Halstead,Essex,CO9 1HU,,Yes,LAL,,,09:00-17:00,09:00-18:00,,09:00-18:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,halstead.library@essex.gov.uk
Essex County Council,Harlow Library,The High,Harlow,Essex,CM20 1HA,10003706904,Yes,LAL,,,09:00-17:00,09:00-17:00,,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,Yes,Harlow Save Credit Union & Harlow & West Essex Law Centre/Iceland Foods,2 separate partners located upstairs & Iceland Foods rent space at the back of the library for storage,,harlow.library@essex.gov.uk
Essex County Council,Harwich Library,Upper Kingsway,Harwich,Essex,CO12 3JT,,Yes,LAL,,,09:00-18:00,09:00-18:00,,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,harwich.library@essex.gov.uk
Essex County Council,Hatfield Peverel Library,The Street,Chelmsford,Essex,CM3 2DP,,Yes,LAL,,,,13:00-17:00,09:00-13:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,hatfieldpeverel.library@essex.gov.uk
Essex County Council,Hockley Library,Southend Road,Hockley,Essex,SS5 4PZ,,Yes,LAL,,,,09:00-17:30,,09:00-17:30,09:00-17:30,09:00-17:30,,,,,,,,,,No,,,,hockley.library@essex.gov.uk
Essex County Council,Holland Library,"Public Hall, Frinton Road",Clacton-on-Sea,Essex,CO15 5UR,,Yes,LAL,,,13:00-17:00,,09:00-13:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,holland.library@essex.gov.uk
Essex County Council,Hullbridge Library,Ferry Road,Hockley,Essex,SS5 6ET,,Yes,LAL,,,,09:00-13:00,13:00-17:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,hullbridge.library@essex.gov.uk
Essex County Council,Ingatestone Library,High Street,Ingatestone,Essex,CM4 9EU,,Yes,LAL,,,13:00-17:00,,09:00-13:00,13:00-17:00,,09:00-13:00,,,,,,,,,,Yes,Mansfield Monk Ltd,,,ingatestone.library@essex.gov.uk
Essex County Council,Jaywick Library,"Golf Green Public Hall, Golf Green Road",Clacton-On-Sea,Essex,CO15 2RH,,Yes,CRL,,,10:00-16:00,10:00-16:00,10:00-12:30,,10:00-12:30,09:30-12:00,,,,,,,,,,No,,,,Jaywick.lap@essex.gov.uk
Essex County Council,Kelvedon Library,"Aylett's Foundation School, Maldon Road",Kelvedon,Essex,CO5 9BA,,Yes,LAL,,,13:00-18:00,,,13:00-18:00,,09:00-13:00,,,,,,,,,,Yes,Trustees Local History Musuem,,,kelvedon.library@essex.gov.uk
Essex County Council,Laindon Library,5-7 New Century Road,Basildon,Essex,SS15 6AG,,Yes,LAL,,,09:00-18:00,09:00-18:00,,09:00-19:00,09:00-14:00,09:00-17:00,,,,,,,,,,No,,,,laindon.library@essex.gov.uk
Essex County Council,Loughton Library,Traps Hill,Loughton,Essex,IG10 1HD,10093183553,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,Loughton Town Council/ CAB/ Loughton Youth Project,3 separate partners,,loughton.library@essex.gov.uk
Essex County Council,Maldon Library,"Carmelite House, White Horse Lane",Maldon,Essex,CM9 5FW,,Yes,LAL,,,09:00-19:00,09:00-19:00,,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,No,,,,maldon.library@essex.gov.uk
Essex County Council,Manningtree Library,High Street,Manningtree,Essex,CO11 1AD,,Yes,LAL,,,,09:30-18:00,09:30-13:00,14:00-19:00,09:30-18:00,09:00-17:00,,,,,,,,,,Yes,Manningtree Musuem & Local History Group,,,manningtree.library@essex.gov.uk
Essex County Council,Mark Hall Library,The Stow,Harlow,Essex,CM20 3AP,,Yes,LAL,,,,13:00-17:00,09:00-13:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,markhall.library@essex.gov.uk
Essex County Council,North Melbourne Library,"Dickens Place, Copperfield Road",Chelmsford,Essex,CM1 4UU,,Yes,LAL,,,,09:00-17:00,,,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,northmelbourne.library@essex.gov.uk
Essex County Council,North Weald Library,138 High Road,Epping,Essex,CM16 6BZ,,Yes,LAL,,,09:15-13:15,14:00-17:00,09:15-13:15,10:00-19:00,09:15-13:15,09:00-13:00,,,,,,,,,,Yes,North Weald Parish Council,,,northweald.library@essex.gov.uk
Essex County Council,Old Harlow Library,30 High Street,Old Harlow,Essex,CM17 0DW,,Yes,LAL,,,10:00-16:00,,12:00-18:00,,10:00-16:00,10:00-16:00,,,,,,,,,,No,,,,oldharlow.library@essex.gov.uk
Essex County Council,Pitsea Library,Community Centre,Pitsea,Essex,SS13 3DU,,Yes,LAL,,,,09:00-18:00,09:00-18:00,,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,pitsea.library@essex.gov.uk
Essex County Council,Prettygate Library,44 Prettygate Road,Colchester,Essex,CO3 4EQ,,Yes,LAL,,,,09:00-18:00,09:00-18:00,,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,Colchester & Tiptree Toy Library,,,prettygate.library@essex.gov.uk
Essex County Council,Rayleigh Library,132-134 High Street,Rayleigh,Essex,SS6 7BX,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,rayleigh.library@essex.gov.uk
Essex County Council,Rochford Library,8 Roche Close,Rochford,Essex,SS4 1PX,,Yes,LAL,,,,09:00-17:30,,09:00-17:30,09:00-17:30,09:00-17:30,,,,,,,,,,No,,,,rochford.library@essex.gov.uk
Essex County Council,Saffron Walden Library,2 King Street,Saffron Walden,Essex,CB10 1ES,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,Yes,Newport Jewellery Workshop Ltd,,,saffronwalden.library@essex.gov.uk
Essex County Council,Shenfield Library,63 Hutton Road,Brentwood,Essex,CM15 8NJ,,Yes,LAL,,,09:00-17:30,09:00-17:30,09:00-17:30,,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,,shenfield.library@essex.gov.uk
Essex County Council,Sible Hedingham Library,169 Swan Street,Halstead,Essex,CO9 3PX,,Yes,LAL,,,09:00-13:00,13:00-17:00,,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,siblehedingham.library@essex.gov.uk
Essex County Council,Silver End Library,10 The Broadway,Witham,Essex,CM8 3RB,,Yes,LAL,,,,14:00-18:00,,14:00-18:00,,09:00-13:00,,,,,,,,,,No,,,,silverend.library@essex.gov.uk
Essex County Council,South Benfleet Library,264 High Road,Benfleet,Essex,SS7 5HD,,Yes,LAL,,,,09:00-17:30,09:00-17:30,,09:00-17:30,09:00-17:30,,,,,,,,,,No,,,,south.benfleetlibrary@essex.gov.uk
Essex County Council,Southminster Library,Queenborough Road,Southminster,Essex,CM0 7AB,,Yes,LAL,,,09:00-13:00,,13:00-17:00,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,southminster.library@essex.gov.uk
Essex County Council,South Woodham Ferrers Library,Trinity Square,Chelmsford,Essex,CM3 5JU,200004636200,Yes,LAL,,,,09:00-19:00,09:00-13:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,No,,,,southwoodham.library@essex.gov.uk
Essex County Council,Springfield Library,St. Augustine's Way,Chelmsford,Essex,CM1 6GX,,Yes,CRL,,,10:00-16:00,10:00-16:00,,10:00-16:00,10:00-16:00,10:00-16:00,,,,,,,,,,No,,,,springfield.library@essex.gov.uk
Essex County Council,Stansted Library,"Crafton Green, 72 Chapel Hill",Stansted Mountfitchet,Essex,CM24 8AQ,,Yes,LAL,,,,09:00-13:00,14:00-17:00,14:00-18:00,,09:30-17:00,,,,,,,,,,No,,,,stansted.library@essex.gov.uk
Essex County Council,Stanway Library,10 Villa Road,Colchester,Essex,CO3 0RH,,Yes,LAL,,,09:00-13:00,13:00-17:00,,13:00-17:00,,09:00-13:00,,,,,,,,,,No,,,,stanway.library@essex.gov.uk
Essex County Council,Stock Library,Swan Lane,Ingatestone,Essex,CM4 9BQ,,Yes,LAL,,,,14:00-18:00,,09:00-18:00,,09:00-12:00,,,,,,,,,,No,,,,stock.library@essex.gov.uk
Essex County Council,Thaxted Library,7 Town Street,Dunmow,Essex,CM6 2LD,,Yes,LAL,,,09:00-12:30,14:00-17:00,,14:00-17:00,09:00-16:00,09:30-12:30,,,,,,,,,,No,,,,thaxted.library@essex.gov.uk
Essex County Council,Tiptree Library,Rectory Road,Colchester,Essex,CO5 0SX,,Yes,LAL,,,14:00-17:00,10:00-17:00,,10:00-19:00,,09:00-13:00,,,,,,,,,,No,,,,tiptree.library@essex.gov.uk
Essex County Council,Tye Green Library,Tilegate Road,Harlow,Essex,CM18 6LU,,Yes,LAL,,,,10:00-16:00,,10:00-16:00,10:00-16:00,10:00-16:00,,,,,,,,,,No,,,,tyegreen.library@essex.gov.uk
Essex County Council,Vange Library,Southview Road,Basildon,Essex,SS16 4ET,,Yes,LAL,,,10:00-16:00,10:00-16:00,,10:00-16:00,,10:00-16:00,,,,,,,,,,No,,,,vange.library@essex.gov.uk
Essex County Council,Waltham Abbey Library,37 Sun Street,Waltham Abbey,Essex,EN9 1EL,,Yes,LAL,,,09:00-17:30,09:00-17:30,09:00-17:30,,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,,walthamabbey.library@essex.gov.uk
Essex County Council,Walton Library,52 High Street,Walton-on-the-Naze,Essex,CO14 8AE,,Yes,LAL,,,13:00-17:00,,13:00-17:00,09:00-13:00,,09:00-13:00,,,,,,,,,,No,,,,walton.library@essex.gov.uk
Essex County Council,West Clacton Library,Jaywick Lane,Clacton-on-Sea,Essex,CO16 8BE,10007935090,Yes,LAL,,,09:00-15:00,09:00-17:00,09:00-15:00,09:00-17:00,09:00-15:00,09:00-13:00,,,,,,,,,,No,,,,west.clactonlibrary@essex.gov.uk
Essex County Council,West Mersea Library,13 High Street,Colchester,Essex,CO5 8QA,,Yes,LAL,,,,09:30-19:00,,09:30-17:00,09:30-12:30,09:30-17:00,,,,,,,,,,No,,,,westmersea.library@essex.gov.uk
Essex County Council,Wickford Library,Market Road,Wickford,Essex,SS12 0AG,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,wickford.library@essex.gov.uk
Essex County Council,Wickham Bishops Library,School Road,Witham,Essex,CM8 3NU,,Yes,LAL,,,14:00-18:00,,14:00-18:00,,,09:00-13:00,,,,,,,,,,No,,,,wickhambishops.library@essex.gov.uk
Essex County Council,Witham Library,18 Newland Street,Witham,Essex,CM8 2AQ,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,Yes,Colchester Institute,,,witham.library@essex.gov.uk
