Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Herefordshire Council,Abbots Langley Library,High Street,Abbots Langley,Hertfordshire,WD5 0AP,100081290836,Yes,LAL,,,13:00-18:00,09:30-18:00,00:00-00:00,13:00-18:00,09:30-18:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Adeyfield Library (Hemel Hempstead),1a Queen's Square,Hemel Hempstead,Hertfordshire,HP2 4EW,200004059697,Yes,LAL,,,14:00-18:00,00:00-00:00,14:00-18:00,14:00-18:00,14:00-18:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Baldock Library,Simpson Drive,Baldock,Hertfordshire,SG7 6DH,100081259556,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-18:00,00:00-00:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Belmont,"Belmont Community Centre, Eastholme Avenue",Hereford,Herefordshire,HR2 7UQ,10022782387,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Centre Facility,"Closed between 13:00 and 14:00 on Tuesday, Thursday and Friday",https://www.herefordshire.gov.uk/directory_record/22/belmont_library,belmontlibrary@herefordshire.gov.uk
Herefordshire Council,Berkhamsted Library,185 High Street,Berkhamsted,Hertfordshire,HP4 3HB,10093312998,Yes,LAL,2017,,07:00-20:00,07:00-17:00,07:00-17:00,07:00-20:00,07:00-20:00,07:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Reopened on new site. Operates Open+ swipe card access for 31 hours in addition to staffed hours,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Berkhamsted Library,Kings Road,Berkhamsted,Hertfordshire,HP4 3BD,,No,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed and relocated to new site,,
Herefordshire Council,Bishops Stortford Library,The Causeway,Bishop's Stortford,Hertfordshire,CM23 2EJ,10033100376,Yes,LAL,,,10:00-19:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Borehamwood Library,96 Shenley Road,Borehamwood,Hertfordshire,WD6 1EB,10034169797,Yes,LAL,2013,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-19:00,09:00-13:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Hub including the Cafe and Community hall hire. Borehamwood & Elstree Museum share the top floor of the library; Youth Connexions have offices and run youth clubs in the building.,Reopened on new site.,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Borehamwood Library,Elstree Way,Borehamwood,Hertfordshire,,,Yes,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed and relocated to new site,,
Herefordshire Council,Bovingdon Community Library,High Street,Bovingdon,Hertfordshire,HP3 0HJ,100081182669,No,CRL,,,09:00-18:00,09:00-18:00,00:00-00:00,14:00-18:00,09:00-18:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Supported Self Service 09:00 - 11:00 Mon TTO,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Bromyard,"The Bromyard Centre, 1 Cruxwell Street",Bromyard,Herefordshire,HR7 4EB,10007364462,Yes,CL,,,07:00-21:00,09:00-21:00,07:00-21:00,09:00-21:00,07:00-21:00,09:00-13:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Leisure Centre,,https://www.herefordshire.gov.uk/directory_record/23/bromyard_library,bromyardlibrary@herefordshire.gov.uk
Herefordshire Council,Brookmans Park Community Library,31 Bradmore Green,Brookmans Park,Hertfordshire,AL9 7QR,100081158360,No,CRL,,,14:00-18:00,14:00-18:00,00:00-00:00,14:00-18:00,14:00-18:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Buntingford Library,77 High Street,Buntingford,Hertfordshire,SG9 9AE,100081260500,Yes,LAL,,,10:00-17:30,10:00-17:30,00:00-00:00,10:00-17:30,14:00-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Bushey Library,Sparrows Herne,Bushey,Hertfordshire,WD23 1FA,10034170641,Yes,LAL,,,13:00-18:00,10:00-18:00,13:00-18:00,00:00-00:00,10:00-18:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Central Resources Library,"New Barnfield, Travellers Lane",Hatfield,Hertfordshire,AL10 8XG,100081151357,Yes,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed and relocated to new site,,
Herefordshire Council,Cheshunt Library,Turners Hill,Cheshunt,Hertfordshire,EN8 8LB,148014636,Yes,LAL,,,09:00-18:00,09:00-18:00,00:00-00:00,09:00-17:30,14:00-17:30,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
Herefordshire Council,Chorleywood Community Library,Lower Road,Chorleywood,Hertfordshire,WD3 5LB,100081290082,No,CRL,,,09:30-18:00,00:00-00:00,14:00-18:00,09:30-18:00,14:00-18:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hertfordshire.gov.uk/,libraries.information@hertfordshire.gov.uk
