Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Hertfordshire County Council,Abbots Langley Library,High Street,Abbots Langley,Hertfordshire,WD5 0AP,100081290836,Yes,LAL,,,13:00-18:00,09:30-18:00,,13:00-18:00,09:30-18:00,09:30-13:00,,,,,,,,,,No,,,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/abbots-langley-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Adeyfield Library (Hemel Hempstead),1a Queen's Square,Hemel Hempstead,Hertfordshire,HP2 4EW,200004059697,Yes,LAL,,,14:00-18:00,,14:00-18:00,14:00-18:00,14:00-18:00,09:00-13:00,,,,,,,,,,No,,,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/adeyfield-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Baldock Library,Simpson Drive,Baldock,Hertfordshire,SG7 6DH,100081259556,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-18:00,,09:00-13:00,,,,,,,,,,No,,,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/baldock-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Berkhamsted Library,185 High Street,Berkhamsted,Hertfordshire,HP4 3HB,10093312998,Yes,LAL,2017,,09:30-17:30,09:30-17:00,09:30-17:00,,09:30-17:00,09:30-16:00,,"07:00-09:30,17:30-20:00",07:00-09:30,07:00-09:30,07:00-20:00,07:00-09:30,07:00-09:30,,,No,,Reopened on new site. Operates Open+ swipe card access for 31 hours in addition to staffed hours,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/berkhamsted-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Berkhamsted Library,Kings Road,Berkhamsted,Hertfordshire,HP4 3BD,,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,Closed and relocated to new site,,
Hertfordshire County Council,Bishops Stortford Library,The Causeway,Bishop's Stortford,Hertfordshire,CM23 2EJ,10033100376,Yes,LAL,,,10:00-19:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,12:00-16:00,,,,,,,,,No,,,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/bishops-stortford-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Borehamwood Library,96 Shenley Road,Borehamwood,Hertfordshire,WD6 1EB,10034169797,Yes,LAL,2013,,09:00-18:00,12:00-18:00,09:00-18:00,12:00-19:00,,09:00-16:00,,,09:00-12:00,,09:00-12:00,09:00-13:00,,,,Yes,Community Hub including the Cafe and Community hall hire. Borehamwood & Elstree Museum share the top floor of the library; Youth Connexions have offices and run youth clubs in the building.,Reopened on new site.,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/borehamwood-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Borehamwood Library,Elstree Way,Borehamwood,Hertfordshire,,,Yes,LAL,,2013,,,,,,,,,,,,,,,,No,,Closed and relocated to new site,,
Hertfordshire County Council,Bovingdon Community Library,High Street,Bovingdon,Hertfordshire,HP3 0HJ,100081182669,No,CRL,,,09:00-18:00,09:00-18:00,,13:00-18:00,09:00-13:00,10:00-13:00,,,,,,,,,,No,,Supported Self Service 09:00 - 11:00 Mon TTO,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/bovingdon-community-library.aspx,libraries.information@hertfordshire.gov.uk
Hertfordshire County Council,Brookmans Park Community Library,31 Bradmore Green,Brookmans Park,Hertfordshire,AL9 7QR,100081158360,No,CRL,,,14:00-17:30,14:00-17:30,,14:00-17:30,14:00-17:30,09:30-12:30,,,,,,,,,,No,,,https://www.hertfordshire.gov.uk/services/libraries-and-archives/library-opening-hours/brookmans-park-community-library.aspx,libraries.information@hertfordshire.gov.uk
