Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Hull City Council,Anlaby Park Library,,,,HU4 6XH,,Yes,ICL,,,,,,,,,,,,,,,,,,No,,,http://anlabyparklibrary.com/,
Hull City Council,Avenues Library,76 Chanterlands Avenue,Hull,East Riding of Yorkshire,HU5 3TS,,No,CL,,,09:30-13:00,14:00-17:30,,14:00-17:30,09:30-13:00,10:00-13:00,,,,,,,,,,No,,,https://www.hcandl.co.uk/libraries,
Hull City Council,Bransholme Library,"NorthPoint Shopping Centre, Goodhart Road",Bransholme,East Riding of Yorkshire,HU7 4EF,,No,CL,,,09:30-17:00,09:30-17:00,,09:30-17:00,,10:00-13:00,,,,,,,,,,No,,,https://www.hcandl.co.uk/libraries,
Hull City Council,East Park Library,"Central Pavillion, Holderness Road",Hull,East Riding of Yorkshire,HU8 8JU,,No,CL,2018,,10:00-14:00,,10:00-14:00,,10:00-14:00,10:00-14:00,,,,,,,,,,No,,Has longer opening hours in the summer,,
Hull City Council,Fred Moore Library,Wold Road,Hull,East Riding of Yorkshire,HU5 5UN,,Yes,CL,,,10:00-17:00,,10:00-17:00,10:00-18:30,,10:00-13:00,,,,,,,,,,No,,,https://www.hcandl.co.uk/libraries,
Hull City Council,Freedom Centre Library,"The Freedom Centre, 95 Preston Road",Hull,East Riding of Yorkshire,HU9 3QB,,Yes,CL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-18:00,09:00-12:00,,,,,,,,,,Yes,"Social Enterprise - Cafe, Gym, Adult Education, Walk-In Health Centre, Function Suite etc",,https://www.hcandl.co.uk/libraries,
Hull City Council,Gipsyville Library,728-730 Hessle High Road,Hull,East Riding of Yorkshire,HU4 6JA,,Yes,CL,,,09:00-17:00,,10:00-18:00,,09:00-17:00,10:00-13:00,,,,,,,,,,Yes,Social Enterprise - Community Development Organisation,,https://www.hcandl.co.uk/libraries,
Hull City Council,Greenwood Avenue Library,220 Greenwood Avenue,Hull,East Riding of Yorkshire,HU6 9RU,,Yes,CL,,,10:00-17:00,,10:00-18:30,,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.hcandl.co.uk/libraries,
Hull City Council,Holderness Road Customer Service Centre Library,"1 The Mount, Holderness Road",Hull,East Riding of Yorkshire,HU9 2AH,,No,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
Hull City Council,Hull Central Library,Albion Street,Hull,East Riding of Yorkshire,HU1 3TF,10000201794,Yes,CL,,,09:30-17:00,09:30-17:00,13:00-19:30,09:30-19:30,09:30-13:00,10:00-16:00,,,,,,,,,,No,,,https://www.hcandl.co.uk/libraries,
Hull City Council,Ings Library,Savoy Road,Hull,East Riding of Yorkshire,HU8 0TY,,Yes,CL,,,09:30-13:00,14:00-18:00,09:30-13:00,14:00-18:00,09:30-13:00,10:00-13:00,,,,,,,,,,Yes,"Nursery, Housing Dept",,https://www.hcandl.co.uk/libraries,
Hull City Council,KC Stadium,,,,HU3 6HU,,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Hull City Council,Longhill Library,"St. Margaret's Church, Shannon Road",Hull,East Riding of Yorkshire,HU8 9PD,,Yes,CL,,,14:00-17:00,09:00-12:30,14:00-18:00,09:00-12:30,14:00-17:00,,,,,,,,,,,Yes,"Community Cafe, Church",,https://www.hcandl.co.uk/libraries,
Hull City Council,Longhill Library,,,,HU8 9RW,,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
Hull City Council,Waudby Library,Isaac Newton Library & Sports Centre,Hull,East Riding of Yorkshire,HU9 5LD,,Yes,CL,,,10:00-13:00,13:00-17:00,10:00-13:00,13:00-17:00,,09:30-12:30,,,,,,,,,,Yes,Gym,,https://www.hcandl.co.uk/libraries,
Hull City Council,Waudby Library,,,,HU9 5UZ,,Yes,LAL,,2013,,,,,,,,,,,,,,,,No,,,,
Hull City Council,Western Library,"254 Boulevard, Hessle Road",Hull,East Riding of Yorkshire,HU3 3ED,,Yes,CL,,,13:00-18:00,09:30-13:30,,13:00-18:00,,10:00-13:00,,,,,,,,,,Yes,Community Development Organisation,,https://www.hcandl.co.uk/libraries,
