Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Isle of Anglesey County Council,Amlwch Library,Ffordd Parys,Amlwch,Anglesey,LL68 9EA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:kbxlh@anglesey.gov.uk
Isle of Anglesey County Council,Beaumaris Library,Hen Ysgol David Hughes,Beaumaris,Anglesey,LL58 8AL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/beaumaris-library/,mailto:ddxlh@anglesey.gov.uk
Isle of Anglesey County Council,Benllech Library,Ffordd Bangor,Benllech,Anglesey,LL74 8TF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:dcxlh@anglesey.gov.uk
Isle of Anglesey County Council,Cemaes Library,Lôn Glascoed,Cemaes,Anglesey,LL67 0HN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:kcxlh@anglesey.gov.uk
Isle of Anglesey County Council,Holyhead Library,,,,LL65 1HH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:kpxlh@anglesey.gov.uk
Isle of Anglesey County Council,Llangefni Library,Lôn-y-Felin,Llangefni,Anglesey,LL77 7RT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/llangefni-library/,mailto:libraries@ynysmon.gov.uk
Isle of Anglesey County Council,Menai Bridge Library,Ffordd y Ffair,Porthaethwy,Anglesey,LL59 5AS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/menai-bridge-library/,mailto:dbxlh@anglesey.gov.uk
Isle of Anglesey County Council,Moelfre Library,Y Ganolfan,Moelfre,Anglesey,LL72 8HA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:dfxlh@anglesey.gov.uk
Isle of Anglesey County Council,Newborough Library,Prichard Jones Institute,Newborough,Anglesey,LL61 6SY,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,mailto:dexlh@anglesey.gov.uk
Isle of Anglesey County Council,Rhosneigr Library,High Street,Rhosneigr,Anglesey,LL64 5UX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/rhosneigr-library/,mailto:kdxlh@anglesey.gov.uk
