Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Kent County Council,Allington Library,Castle Road,Maidstone,Kent,ME16 0PR,,No,LAL,,,00:00-00:00,09:00-17:00,09:00-17:00,14:00-17:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.kent.gov.uk/leisure-and-community/libraries,allingtonlibrary@kent.gov.uk
Kent County Council,Ashen Drive Library,Ashen Drive,Dartford,Kent,DA1 3LY,,Yes,LAL,,,12:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.kent.gov.uk/leisure-and-community/libraries,ashendrivelibrary@kent.gov.uk
Kent County Council,Ashford Library,"Ashford Gateway Plus, Church Road",Ashford,Kent,TN23 1AS,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-13:00,10:00-18:00,09:00-17:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Gateway,Gateway,http://www.kent.gov.uk/leisure-and-community/libraries,ashfordlibrary@kent.gov.uk
Kent County Council,Ashford Library,Church Road,Ashford,Kent,TN23 1AS,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Kent County Council,Ash Library,"Ash Village Hall, 10 Queens Road",Canterbury,Kent,CT3 2BG,,Yes,LAL,,,11:30-17:00,09:30-13:00,09:30-14:00,00:00-00:00,11:30-17:00,09:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Village Hall,Located in Village Hall,http://www.kent.gov.uk/leisure-and-community/libraries,ashlibrary@kent.gov.uk
Kent County Council,Aylesham Library,"Aylesham Community Centre, Ackholt Road",Canterbury,Kent,CT3 3AJ,,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-16:00,09:30-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Centre,Located in Community Centre,http://www.kent.gov.uk/leisure-and-community/libraries,ayleshamlibrary@kent.gov.uk
Kent County Council,Bearsted Library,The Green,Bearsted,Kent,ME14 4DN,,Yes,LAL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Relocated temporarily,http://www.kent.gov.uk/leisure-and-community/libraries,bearstedlibrary@kent.gov.uk
Kent County Council,Bearsted Library (Temporary Location),"Bearsted Rail Station, Ware Street",Bearsted,Kent,ME14 4PH,,Yes,LAL,2018,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Temporary location,http://www.kent.gov.uk/leisure-and-community/libraries,bearstedlibrary@kent.gov.uk
Kent County Council,Birchington Library,Alpha Road,Birchington,Kent,CT7 9EG,,Yes,LAL,,,09:30-17:00,09:30-17:30,00:00-00:00,09:30-17:30,09:30-17:00,09:30-15:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.kent.gov.uk/leisure-and-community/libraries,birchingtonlibrary@kent.gov.uk
Kent County Council,Bockhanger Library,10 Belmont Road,Kennington,Kent,TN24 9LS,,No,LAL,2019,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Sure Steps Children's Centre,Children's Centre,http://www.kent.gov.uk/leisure-and-community/libraries,bockhangerlibrary@kent.gov.uk
Kent County Council,Borough Green Library,High Street,Borough Green,Kent,TN15 8BJ,,Yes,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.kent.gov.uk/leisure-and-community/libraries,boroughgreenlibrary@kent.gov.uk
Kent County Council,Boughton-under-Blean Library,Village Hall,Boughton-under-Blean,Kent,ME13 9AH,,Yes,LAL,,,00:00-00:00,10:00-17:00,00:00-00:00,14:00-17:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.kent.gov.uk/leisure-and-community/libraries,boughtonlibrary@kent.gov.uk
