Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Kirklees Council,Almondbury Library,Farfield Road,Huddersfield,West Yorkshire,HD5 8TD,83230680,Yes,LAL,,,13:00-17:00,10:00-13:00,,14:00-19:00,,10:00-13:00,,,,,,,,,,Yes,Children's Centre,Relocated to a modern building and refurbished to be dementia friendly,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Batley Library,Market Place,Batley,West Yorkshire,WF17 5DA,83169836,Yes,LAL,,,10:00-19:00,10:00-17:00,,10:00-17:00,10:00-17:00,12:00-17:00,,,,,,,,,,Yes,Art Gallery,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Birkby & Fartown Library,Wasp Nest Road,Huddersfield,West Yorkshire,HD1 6HA,83235802,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Birstall Library,Market Street,Batley,West Yorkshire,WF17 9EN,83144074,Yes,CL,,,10:00-13:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-13:00,09:00-12:30,,,,,,,,,,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Chestnut Centre Library,"The Chestnut Centre, Chestnut Street",Huddersfield,West Yorkshire,HD2 1HJ,83240562,Yes,CL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,,Yes,Local Services to You,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Cleckheaton Library,Whitcliffe Road,Cleckheaton,West Yorkshire,BD19 3DX,83098217,Yes,LAL,,,10:00-19:00,10:00-17:00,,10:00-19:00,10:00-15:00,10:00-15:00,,,,,,,,,,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Denby Dale Library,Wakefield Road,Huddersfield,West Yorkshire,HD8 8RX,83190566,Yes,CL,,,10:00-18:00,10:00-16:00,10:00-17:00,10:00-16:00,10:00-16:00,10:00-12:00,,,,,,,,,,Yes,"Kirkwood Hospice, Community Cafe",,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Dewsbury Library,Railway Street,Dewsbury,West Yorkshire,WF12 8EQ,83164949,Yes,LAL,,,09:30-17:00,09:30-19:30,09:30-17:00,09:30-19:30,09:30-17:00,09:30-17:00,,,,,,,,,,Yes,Careers Service,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Golcar Library,12 - 14 Town End,Huddersfield,West Yorkshire,HD7 4QD,83009269,Yes,LAL,,,13:00-18:00,10:00-13:00,,13:00-17:00,,10:00-13:00,,,,,,,,,,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
Kirklees Council,Heckmondwike Library,Walkley Lane,Heckmondwike,West Yorkshire,WF16 0LY,83128318,Yes,LAL,,,10:00-13:00,10:00-19:00,,10:00-17:00,13:00-19:00,10:00-15:00,,,,,,,,,,No,,,https://www.kirklees.gov.uk/Libraries,frontline.services@kirklees.gov.uk
