Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Liverpool City Council,Allerton,Allerton Road ,Allerton,Merseyside,L18 6HG,38005179,Yes,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,,10:00-18:00,10:00-16:00,,,,,,,,,,No,,,http://liverpool.gov.uk/libraries/find-a-library/allerton-library/,allerton.library@liverpool.gov.uk
Liverpool City Council,Breck Road,"8-10 The Mall, Breck Road",Liverpool,Merseyside,L5 6PX,38174684,No,CRL,,,08:30-16:30,08:30-17:00,08:30-16:30,08:30-16:30,08:30-15:30,10:00-13:00,,,,,,,,,,No,,,http://liverpool.gov.uk/libraries/find-a-library/breck-road-library/,brecklibrary@altvalley.co.uk
Liverpool City Council,Central Library,William Brown Street ,Liverpool,Merseyside,L3 8EW,38165204,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-17:00,10:00-17:00,,,,,,,,,No,,,http://liverpool.gov.uk/libraries/find-a-library/central-library/,libraries.enquiries@liverpool.gov.uk
Liverpool City Council,Childwall,Childwall Fiveways ,Childwall,Merseyside,L15 6UT,38031402,Yes,LAL,2011,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,10:00-17:00,,,,,,,,,,,Yes,,,http://liverpool.gov.uk/libraries/find-a-library/childwall-library/,childwall.library@liverpool.gov.uk
Liverpool City Council,Croxteth,"The Communiversity, Altcross House, Altcross Road",Croxteth,Merseyside,L11 0BS,38006106,Yes,CRL,,,08:30-16:30,08:30-16:30,08:30-18:00,08:30-16:30,08:30-15:30,,,,,,,,,,,No,,,http://liverpool.gov.uk/libraries/find-a-library/croxteth-library/,croxteth.library@liverpool.gov.uk
Liverpool City Council,Dovecot,Back Dovecot Place ,Dovecot,Merseyside,L14 9BA,38068423,No,CRL,,,08:30-18:00,08:30-16:30,08:30-16:30,08:30-16:30,08:30-15:30,,,,,,,,,,,No,,,http://liverpool.gov.uk/libraries/find-a-library/dovecot-library/,dovecotlibrary@altvalley.co.uk
Liverpool City Council,Edge Hill,26 Lodge Lane ,Edge Hill,Merseyside,L8 0QH,38093256,No,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Liverpool City Council,Fazakerley,Formosa Drive ,Fazakerley,Merseyside,L10 7LQ,38058153,No,CRL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,,,,,,,,,,,No,,,,fazlibrary@hotmail.com
Liverpool City Council,Garston,Bowden Road,Garston,Merseyside,L19 1QN,38019836,Yes,LAL,,,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,10:00-16:00,,,,,,,,,,Yes,Council One Stop Shop,,http://liverpool.gov.uk/libraries/find-a-library/garston-library/,garston.library@liverpool.gov.uk
Liverpool City Council,Great Homer Street,Great Homer Street,Liverpool,Merseyside,L5 3LQ,38065750,No,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
