Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Bromley,Anerley Library,"Anerley Town Hall, Anerley Road",Bromley,Greater London,SE20 8BD,10070005412,No,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
London Borough of Bromley,Beckenham Library,Beckenham Road,Bromley,Greater London,BR3 4PE,10003628986,Yes,CL,,,09:30-18:00,09:30-18:00,09:30-20:00,,09:30-18:00,09:30-17:00,,,,,,,,,,No,,,https://www.better.org.uk/library/london/bromley/beckenham-library,Beckenham.Library@GLL.ORG
London Borough of Bromley,Biggin Hill Memorial Library & Pool,Church Road,Bromley,Greater London,TN16 3LB,10070007971,Yes,CL,,,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-20:30,08:00-19:30,08:00-19:30,,,,,,,,,Yes,Swimming Pool & Cafe,,https://www.better.org.uk/library/london/bromley/biggin-hill-library,BigginHill.Library@GLL.ORG
London Borough of Bromley,Bromley Central Library,High Street,Bromley,Greater London,BR1 1EX,100022886980,Yes,CL,,,09:30-18:00,09:30-18:00,09:30-18:00,09:30-20:00,09:30-18:00,09:30-17:00,,,,,,,,,,Yes,Theatre,Refurbished Dec. 2019,https://www.better.org.uk/library/london/bromley/bromley-central-library,Bromley.Library@GLL.ORG
London Borough of Bromley,Burnt Ash Library,Burnt Ash Lane,Bromley,Greater London,BR1 5AF,100022890161,Yes,CL,,,09:30-18:00,,,09:30-18:00,,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/burnt-ash-library,BurntAsh.Library@GLL.ORG
London Borough of Bromley,Chislehurst Library,Red Hill,Bromley,Greater London,BR7 6DA,100022901114,Yes,CL,,,09:30-20:00,09:30-17:30,,09:30-17:30,09:30-17:30,09:30-17:00,,,,,,,,,,No,,,https://www.better.org.uk/library/london/bromley/chislehurst-library,Chislehurst.Library@GLL.ORG
London Borough of Bromley,Hayes Library,Hayes Street,Bromley,Greater London,BR2 7LH,100022891892,Yes,CL,,,,09:30-18:00,,,09:30-18:00,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/hayes-library,Hayes.Library@GLL.ORG
London Borough of Bromley,Mottingham Library,31 Mottingham Road,Bromley,Greater London,SE9 4QZ,100023283985,Yes,CL,,,09:30-17:30,,09:30-15:00,,09:30-20:00,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/mottingham-library,Mottingham.Library@GLL.ORG
London Borough of Bromley,Orpington Library,The Walnuts,Bromley,Greater London,BR6 0TW,10070009943,Yes,CL,,,10:00-20:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,,,,,,,,,,Yes,Council Offices,Moved to new premises 2011,https://www.better.org.uk/library/london/bromley/orpington-library,Orpington.Library@GLL.ORG
London Borough of Bromley,Penge Library,46 Green Lane,Bromley,Greater London,SE20 7JX,10070007380,Yes,CL,2014,,10:00-19:00,09:30-17:30,09:30-13:00,09:30-17:30,09:30-17:30,10:00-17:00,,,,,,,,,,No,,Moved to new premises 2014,https://www.better.org.uk/library/london/bromley/penge-library,Penge.Library@GLL.ORG
London Borough of Bromley,Petts Wood Library,Frankswood Avenue,Bromley,Greater London,BR5 1BP,100022897997,Yes,CL,,,09:30-17:30,09:30-17:30,,09:30-20:00,09:30-17:30,09:30-17:00,,,,,,,,,,No,,,https://www.better.org.uk/library/london/bromley/petts-wood-library,PettsWood.Library@GLL.ORG
London Borough of Bromley,Shortlands Library,110 Shortlands Road,Bromley,Greater London,BR2 0JP,100022891493,Yes,CL,,,09:30-17:30,09:30-17:30,,,09:30-17:30,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/shortlands-library,Shortlands.Library@GLL.ORG
London Borough of Bromley,Southborough Library,Southborough Lane,Bromley,Greater London,BR2 8AP,100022892170,Yes,CL,,,09:30-17:30,09:30-17:30,,,09:30-17:30,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/southborough-library,Southborough.Library@GLL.ORG
London Borough of Bromley,St Pauls Cray Library,Mickleham Road,Bromley,Greater London,BR5 2RW,100022898290,Yes,CL,,,09:30-17:30,09:30-17:30,,09:30-17:30,,09:30-17:00,,,,,,,,,,No,,Closed for 1 hour each open day for lunch,https://www.better.org.uk/library/london/bromley/st-pauls-cray-library,StPaulsCray.Library@GLL.ORG
London Borough of Bromley,West Wickham Library,Glebe Way,Bromley,Greater London,BR4 0SH,100022897598,Yes,CL,,,09:30-20:00,09:30-17:30,,09:30-17:30,09:30-17:30,09:30-17:00,,,,,,,,,,No,,,https://www.better.org.uk/library/london/bromley/west-wickham-library,WestWickham.Library@GLL.ORG
