Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Camden,Belsize Community Library,Antrim Road,London,Greater London,NW3 3NR,,No,CRL,,,10:00-18:00,10:00-18:00,10:00-20:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Previously called The Winch,http://thewinch.org/belsizecommunitylibrary,
London Borough of Camden,Camden Town Library,218 Eversholt Street,London,Greater London,NW1 1BD,,Yes,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,11:00-17:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/camden-town-library/;jsessionid=3DA4417033978CC186FA166E4C8DE700?context=live,
London Borough of Camden,Highgate Library,Chester Road,London,Greater London,N19 5DH,,Yes,CRL,,,00:00-00:00,10:00-17:00,10:00-17:00,10:00-19:00,00:00-00:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/highgate-library/,
London Borough of Camden,Holborn Library,32 Theobolds Road,London,Greater London,WC1X 8PA,5082117,Yes,LAL,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/holborn-library/,
London Borough of Camden,Keats Community Library,10A Keats Grove,London,Greater London,NW3 2RR,,No,ICL,,,00:00-00:00,10:00-18:00,10:00-18:00,10:00-19:00,10:00-19:00,12:00-16:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.keatscommunitylibrary.org.uk,
London Borough of Camden,Kentish Town Library,262-266 Kentish Town Road,London,Greater London,NW5 2AA,,Yes,LAL,,,10:00-19:00,10:00-19:00,00:00-19:00,10:00-19:00,10:00-17:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/kentish-town-library/,
London Borough of Camden,Kilburn Library Centre,12-22 Kilburn High Road,London,Greater London,NW6 5UH,,Yes,LAL,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/kilburn-library-centre/,
London Borough of Camden,Pancras Square Library,5 Pancras Square,London,Greater London,N1C 4AG,,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/pancras-square-library/,
London Borough of Camden,Primrose Hill Community Library,Sharpleshall Street,London,Greater London,NW1 8YN,,No,CRL,,,10:00-18:00,00:00-00:00,12:00-19:00,00:00-00:00,10:00-18:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Previously called Chalk Farm,http://www.phcl.org,
London Borough of Camden,Queens Crescent Library,165 Queens Crescent,London,Greater London,NW5 4HH,5055020,Yes,LAL,,,10:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-17:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/queens-crescent-library/,
