Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Hillingdon,Botwell Green Library,"Botwell Green Sports & Leisure Centre,  East Avenue",Hayes,Middlesex,UB3 2HW,,Yes,LAL,2010,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-20:00,09:00-19:00,09:00-17:00,10:00-13:00,,,,,,,,,Yes,Leisure Centre,Will be refurbished 2020/21,,botwellgreen-library@hillingdon.gov.uk
London Borough of Hillingdon,Charville Library,Bury Avenue,Hayes,Middlesex,UB4 8LF,,Yes,LAL,,,09:30-19:00,09:30-17:30,09:30-17:30,09:30-19:00,09:30-17:30,09:30-16:00,,,,,,,,,,No,,"Closed for refurbishment, opening March 2020",,charville-library@hillingdon.gov.uk
London Borough of Hillingdon,Eastcote Library,Field End Road,Eastcote,Middlesex,HA5 1RL,,Yes,LAL,,,09:30-18:00,09:30-18:00,09:30-18:00,09:30-19:00,09:30-17:30,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,eastcote-library@hillingdon.gov.uk
London Borough of Hillingdon,Harefield Library,Park Lane,Harefield,Middlesex,UB9 6BJ,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-19:00,09:00-18:00,09:00-17:00,,,,,,,,,,No,,Will be refurbished 2020/21,,harefield-library@hillingdon.gov.uk
London Borough of Hillingdon,Harlington Library,Pinkwell Lane,Hayes,Middlesex,UB3 1PB,100023415669,Yes,LAL,,,09:00-17:30,09:00-19:00,09:00-17:30,09:00-17:30,09:00-17:30,09:30-16:00,,,,,,,,,,Yes,Secondary School,,,harlington-library@hillingdon.gov.uk
London Borough of Hillingdon,Hayes End Library,Uxbridge Road,Hayes,Middlesex,UB4 8QJ,,Yes,LAL,,,09:30-19:00,09:30-17:30,09:30-17:30,09:30-19:00,09:30-17:30,09:30-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,hayesend-library@hillingdon.gov.uk
London Borough of Hillingdon,Hayes Library,"Golden Crescent, Hayes Road",Hayes,Middlesex,UB3 1AQ,,Yes,LAL,,2010,,,,,,,,,,,,,,,,No,,,,
London Borough of Hillingdon,Ickenham Library,Long Lane,Ickenham,Middlesex,UB10 8RE,,Yes,LAL,,,09:30-17:30,09:30-19:00,09:30-17:30,09:30-19:00,09:30-17:30,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,ickenham-library@hillingdon.gov.uk
London Borough of Hillingdon,Manor Farm Library,Bury Street,Ruislip,Middlesex,HA4 7SU,,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-17:30,09:00-17:00,,,,,,,,,,No,,Will be refurbished 2020/21,,manorfarm-library@hillingdon.gov.uk
London Borough of Hillingdon,Northwood Hills Library,Oaklands Gate,Northwood,Middlesex,HA6 1QQ,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-19:00,09:00-17:30,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,northwoodhills-library@hillingdon.gov.uk
London Borough of Hillingdon,Northwood Library,Potter Street,Northwood,Middlesex,HA6 3AA,,Yes,LAL,,,09:00-18:00,09:00-19:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,northwood-library@hillingdon.gov.uk
London Borough of Hillingdon,Oak Farm Library,Sutton Court Road,Hillingdon,Middlesex,UB10 9PB,,Yes,LAL,,,09:00-19:00,09:00-17:30,09:00-17:30,09:00-19:00,09:00-17:30,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,oakfarm-library@hillingdon.gov.uk
London Borough of Hillingdon,Ruislip Manor Library,Linden Avenue,Ruislip Manor,Middlesex,HA4 8TW,,Yes,LAL,,,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-17:30,09:00-17:00,,,,,,,,,,Yes,Adult Learning Centre,Refurbished Dec 2019,,ruislipmanor-library@hillingdon.gov.uk
London Borough of Hillingdon,South Ruislip Library,Victoria Road,South Ruislip,Middlesex,HA4 0JE,,Yes,LAL,2012,,09:30-21:00,09:30-21:00,09:30-21:00,09:30-21:00,09:30-17:30,09:30-16:00,,,,,,,,,,Yes,Adult Learning Centre,Will be refurbished 2020/21,,southruislip-library@hillingdon.gov.uk
London Borough of Hillingdon,Uxbridge Library,13-14 High Street,Uxbridge,Middlesex,UB8 1HD,100023421562,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:30,09:00-17:30,11:00-17:00,,,,,,,,,No,,Will be refurbished 2020/21,,uxbridge-library@hillingdon.gov.uk
London Borough of Hillingdon,West Drayton Library,Station Road,West Drayton,Middlesex,UB7 7JS,,Yes,LAL,,,09:00-18:00,09:00-19:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,Will be refurbished 2020/21,,westdrayton-library@hillingdon.gov.uk
London Borough of Hillingdon,Yeading Library,Yeading Lane,Hayes,Middlesex,UB4 0EW,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-19:00,09:00-18:00,09:00-17:00,,,,,,,,,,No,,Will be refurbished 2020/21,,yeading-library@hillingdon.gov.uk
London Borough of Hillingdon,Yiewsley Library,High Street,Yiewsley,Middlesex,UB7 7BE,,Yes,LAL,,,09:30-19:00,09:30-18:00,09:30-18:00,09:30-19:00,09:30-18:00,09:00-16:00,,,,,,,,,,No,,"Will be rebuilt, date unknown",,yiewsley-library@hillingdon.gov.uk
