Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Islington,Archway Library,"Hamlyn House, Highgate Hill",London,Middlesex,N19 5PH,10012791132,Yes,LAL,,,09:30-20:00,,09:30-20:00,,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,Archway.library@islington.gov.uk
London Borough of Islington,Cat and Mouse Library,277 Camden Road,London,Middlesex,N7 0JN,,Yes,LAL,2017,,,09:30-19:00,09:30-13:00,09:30-19:00,,11:00-17:00,,,,,,,,,,No,,,,catandmouse.library@islington.gov.uk
London Borough of Islington,Finsbury Library,245 St. John Street,London,Middlesex,EC1V 4NB,,Yes,LAL,2017,,09:00-20:00,09:00-17:00,09:00-17:00,09:00-20:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,Finsbury.Library@islington.gov.uk
London Borough of Islington,Islington Central Library,2 Fieldway Crescent,London,Middlesex,N5 1PF,5300033298,Yes,LAL,,,09:30-20:00,09:30-17:00,09:30-20:00,09:30-20:00,09:30-17:00,09:30-17:00,13:00-17:00,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,Central.library@islington.gov.uk
London Borough of Islington,John Barnes Library,"Pangbourne House, Camden Road",London,Middlesex,N7 0BD,,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,Replaced by Cat and Mouse,https://www.islington.gov.uk/libraries,
London Borough of Islington,Lewis Carroll Children's Library,166 Copenhagen Street,London,Middlesex,N1 0ST,,Yes,LAL,,,09:30-19:00,,09:30-19:00,,09:30-13:00,11:00-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,Lewiscarroll.library@islington.gov.uk
London Borough of Islington,Mildmay Library,21 Mildmay Park,London,Middlesex,N1 4NA,,Yes,LAL,,,09:30-13:00,09:30-20:00,,09:30-20:00,,11:00-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,Mildmay.library@islington.gov.uk
London Borough of Islington,N4 Library,26 Blackstock Road,London,Middlesex,N4 2DW,,Yes,LAL,,,09:30-20:00,09:30-17:00,09:30-20:00,09:30-13:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,n4.library@islington.gov.uk
London Borough of Islington,North Library,Manor Gardens,London,Middlesex,N7 6JX,,Yes,LAL,,,,09:30-20:00,,09:30-20:00,09:30-13:00,11:00-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,north.library@islington.gov.uk
London Borough of Islington,South Library,115 Essex Road,London,Middlesex,N1 2SL,,Yes,LAL,,,09:30-20:00,,09:30-20:00,,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,south.library@islington.gov.uk
London Borough of Islington,West Library,Bridgeman Road,London,Middlesex,N1 1BD,,Yes,LAL,,,,09:30-20:00,,09:30-20:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.islington.gov.uk/libraries,west.library@islington.gov.uk
