Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Richmond upon Thames,Castelnau,75 Castelnau,Barnes,Surrey,SW13 9RT,,Yes,LAL,,,09:30-18:00,09:30-18:00,10:00-19:00,,09:30-18:00,09:30-16:00,,,,,,,,,,No,,,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,East Sheen,"Sheen Lane Centre, Sheen Lane",East Sheen,Surrey,SW14 8LP,,Yes,LAL,,,09:30-18:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,13:00-17:00,,,,,,,,,Yes,,,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Ham,Ham Street,Ham,Surrey,TW10 7HR,,Yes,LAL,,,09:30-18:00,09:30-18:00,10:00-19:00,,09:30-18:00,09:30-16:00,,,,,,,,,,No,,Library completely refurbished in 2014 and property extended into adjoining disused clinic to create community space,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Hampton,Rosehill,Hampton,Middlesex,TW12 2AB,,Yes,LAL,,,09:30-18:00,09:30-18:00,10:00-19:00,,09:30-18:00,09:30-16:00,,,,,,,,,,No,,,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Hampton Hill,68 High Street,Hampton Hill,Middlesex,TW12 1NY,,Yes,LAL,2010,,09:30-18:00,,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,,,,,,,,,,No,,,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Hampton Wick,Bennet Close,Hampton Wick,Middlesex,KT1 4AT,,Yes,LAL,,,,,10:00-18:00,,10:00-18:00,09:30-16:00,,,,,,,,,,No,,Closed for lunch 12:30 - 13:30,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Heathfield Library,Percy Road,Whitton,Middlesex,TW2 6JL,,Yes,LAL,,2011,,,,,,,,,,,,,,,,No,,Closed in March 2011 as council sold the library building and the surrounding land in order to provide a healthcare polyclinic,,
London Borough of Richmond upon Thames,Heathfield Library Access Point,"Whitton Community Centre, Percy Road",Whitton,Middlesex,TW2 6JL,,Yes,LAL,2011,2019,,,,,,,,,,,,,,,,Yes,Multifunction room within Community Centre. Book shelves were locked away when room was hired out to other groups.,Closed in Sept 2019 as underused. The LAP was used by 22 borrowers who visited  the community centre for other organised activities. All these borrowers also regularly used other  libraries closer to where they lived.,https://richmond.spydus.co.uk/,
London Borough of Richmond upon Thames,Kew,106 North Road,Kew,Surrey,TW9 4HJ,,Yes,LAL,,,,10:00-18:00,,10:00-18:00,,09:30-16:00,,,,,,,,,,No,,Refurbished in  2014,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Richmond Information & Reference Library,"Old Town Hall, Whittaker Avenue",Richmond,Surrey,TW9 1TP,100023408643,Yes,LAL,,,09:30-19:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,,,,,,,,,,Yes,,,https://richmond.spydus.co.uk/,information@richmond.gov.uk
London Borough of Richmond upon Thames,Richmond Information & Reference Library,"Old Town Hall, Whittaker Avenue",Richmond,Surrey,TW9 1TP,100023408643,Yes,LAL,,,,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,09:30-16:00,,,,,,,,,,Yes,,Morning open for appointments only 09:30 -12:00. Opens on alternate Saturdays. Closed for lunch 12:00 - 13:00.,https://richmond.spydus.co.uk/,information@richmond.gov.uk
London Borough of Richmond upon Thames,Richmond Lending Library,Little Green,Richmond,Surrey,TW9 1QL,10002249444,Yes,LAL,,,09:30-19:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,13:00-17:00,,,,,,,,,No,,Interior refurbishment in 2010/11,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Teddington,Waldegrave Road,Teddington,Middlesex,TW11 8NY,,Yes,LAL,,,09:30-19:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,13:00-17:00,,,,,,,,,No,,,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Twickenham,Garfield Road,Twickenham,Middlesex,TW1 3JS,,Yes,LAL,,,09:30-19:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,,,,,,,,,,No,,Closed for interior refurbishment  January 2020  - April 2020,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
London Borough of Richmond upon Thames,Whitton,141 Nelson Road,Whitton,Middlesex,TW2 7BB,,Yes,LAL,,,09:30-18:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-18:00,09:30-16:00,,,,,,,,,,No,,Interior refurbishment in 2018.,https://richmond.spydus.co.uk/,libraries@richmond.gov.uk
