Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Southwark,Blue Anchor Library,Market Place,Southwark,Surrey,SE16 3UQ,200003408074,Yes,LAL,,,09:00-19:00,09:00-19:00,,09:00-19:00,10:00-18:00,09:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=2,
London Borough of Southwark,Brandon Library,Maddock Way,Southwark,Surrey,SE17 3NH,200003432813,Yes,LAL,,,14:00-19:00,14:00-19:00,,14:00-19:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=3,
London Borough of Southwark,Camberwell Library,17-21 Camberwell Church Street,Southwark,Surrey,SE5 8TR,10094084607,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
London Borough of Southwark,Camberwell Library,48 Camberwell Green,Southwark,Surrey,SE5 7AL,10090749181,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-17:00,12:00-16:00,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=4,
London Borough of Southwark,Canada Water Library,21 Surrey Quays Road,Southwark,Surrey,SE16 7AR,10090284129,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,12:00-16:00,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=5,
London Borough of Southwark,Dulwich Library,368 Lordship Lane,Southwark,Surrey,SE22 8NB,200003440972,Yes,LAL,,,09:00-20:00,10:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-17:00,12:00-16:00,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=6,
London Borough of Southwark,East Street Library,168-170 Old Kent Road,Southwark,Surrey,SE1 5TY,200003372135,Yes,LAL,,,14:00-17:00,14:00-17:00,,10:00-15:00,14:00-19:00,10:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=7,
London Borough of Southwark,Grove Vale Library,"18-22 Grove Vale, East Dulwich",Southwark,Surrey,SE22 8EF,10091990782,Yes,LAL,,,10:00-19:00,10:00-19:00,,10:00-19:00,10:00-15:00,10:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=8,
London Borough of Southwark,John Harvard Library,211 Borough High Street,Southwark,Surrey,SE1 1JA,200003356510,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=9,
London Borough of Southwark,Kingswood Library,"Kingswood House, Seeley Drive",Southwark,Surrey,SE21 8QR,200003436418,Yes,LAL,,,,14:00-18:00,,14:00-18:00,,,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=10,
London Borough of Southwark,Newington Library,155 Walworth Road,Southwark,Surrey,SE17 1RS,200003496720,Yes,LAL,,2013,,,,,,,,,,,,,,,,No,,,,
London Borough of Southwark,Newington Temporary Library,"Artworks Elephant, Elephant Road",Southwark,Surrey,SE17 1LB,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
London Borough of Southwark,Nunhead Library,Gordon Road,Southwark,Surrey,SE15 3RW,200003385977,Yes,LAL,,,14:00-19:00,14:00-19:00,10:00-15:00,14:00-19:00,10:00-15:00,10:00-17:00,,,,,,,,,,No,,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=11,
London Borough of Southwark,Peckham Library,122 Peckham Hill Street,Southwark,Surrey,SE15 5JR,200003394812,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
London Borough of Southwark,Rotherhithe Library,Albion Street,Southwark,Surrey,SE16 7JD,,Yes,LAL,,2011,,,,,,,,,,,,,,,,No,,,,
London Borough of Southwark,Southwark Heritage Centre and Walworth Library,145-147 Walworth Road,Southwark,Surrey,SE17 1RW,10094086689,Yes,LAL,2021,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,12:00-16:00,,,,,,,,,Yes,Heritage centre,,https://www.southwark.gov.uk/libraries/find-a-library?chapter=13,
