Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Wandsworth,Balham Library,16 Ramsden Road,Balham ,Greater London,SW12 8QY,,Yes,CL,1898,,09:00-20:00,,09:00-20:00,09:00-20:00,09:00-17:00,10:00-18:00,,,,,,,,,,No,,,,balham.library@gll.org
London Borough of Wandsworth,Battersea Library,265 Lavender Hill,Battersea,Greater London,SW11 1JB,100023297401,Yes,CL,1890,,09:00-20:00,09:00-20:00,09:00-20:00,,09:00-18:00,09:00-17:00,13:00-17:00,,,,,,,,,No,,,,battersea.library@gll.org
London Borough of Wandsworth,Battersea Park Library,309 Battersea Park Road,London,Greater London,SW11 4NF,100023301848,Yes,CL,1971,,09:00-19:00,09:00-19:00,,,09:00-17:00,10:00-14:30,,,,,,,,,,No,,,,batterseapark.library@gll.org
London Borough of Wandsworth,Earlsfield Library,276 Magdalen Road,Earlsfield,Greater London,SW18 3NY,,Yes,CL,1926,,09:00-19:00,,,09:00-19:00,09:00-17:00,10:00-14:30,,,,,,,,,,No,,,,earlsfield.library@gll.org
London Borough of Wandsworth,Northcote Library,155e Northcote Road,Northcote,Greater London,SW11 6RD,100023304130,Yes,CL,1969,,09:00-19:00,,,09:00-19:00,09:00-17:00,10:00-14:30,,,,,,,,,,No,,,,northcote.library@gll.org
London Borough of Wandsworth,Putney Library,5/7 Disraeli Road,Putney,Greater London,SW15 2DR,,Yes,CL,1899,,09:00-20:00,,09:00-20:00,09:00-20:00,09:00-17:00,09:00-17:00,13:00-17:00,,,,,,,,,No,,,,putney.library@glla.org
London Borough of Wandsworth,Roehampton Library,2 Danebury Avenue,Roehampton,Greater London,SW15 4HD,,Yes,CL,1961,,09:00-19:00,,09:00-19:00,,09:00-17:00,10:00-14:30,,,,,,,,,,No,,,,roehampton.library@gll.org
London Borough of Wandsworth,Southfields Library,300 Wimbledon Park Road,Southfields,Greater London,SW19 6NL,,Yes,CL,1955,,,09:00-19:00,09:00-19:00,,09:00-17:00,10:00-14:30,,,,,,,,,,No,,,,southfields.library@gll.org
London Borough of Wandsworth,Tooting Library,75 Mitcham Road,Tooting,Greater London,SW17 9PD,,Yes,CL,1902,,09:00-19:00,09:00-19:00,,09:00-19:00,09:00-17:00,09:00-17:00,13:00-17:00,,,,,,,,,No,,,,tooting.library@gll.org
London Borough of Wandsworth,Wandsworth Town Library,11 Garratt Lane,Wandsworth,Greater London,SW18 4AQ,,Yes,CL,1870,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,wandsworthtown.library@gll.org
London Borough of Wandsworth,York Gardens Library,34 Lavender Road,Battersea,Greater London,SW11 2UG,,Yes,CL,2000,,,12:00-18:00,10:00-19:00,12:00-17:00,11:00-17:00,11:00-15:00,,,,,,,,,,No,,,,yorkgardens.library@gll.org
