Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Norfolk County Council,Acle Library,Bridewell Lane,Acle,Norfolk,NR13 3RA,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Attleborough Library,Connaught Road,Attleborough,Norfolk,NR17 2BW,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Aylsham Library,7 Hungate Street,Aylsham,Norfolk,NR11 6AA,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Blofield Library,North Street,Blofield,Norfolk,NR13 4RQ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Brundall Library,The Street,Brundall,Norfolk,NR13 5LH,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Caister Library,Beach Road,Caister-on-Sea,Norfolk,NR30 5EX,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Costessey Library,Breckland Road,Costessey,Norfolk,NR5 0RW,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Cromer Library,Prince of Wales Road,Cromer,Norfolk,NR27 9HS,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Dereham Library,59 High Street,Dereham,Norfolk,NR19 1DZ,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Dersingham Library,Chapel Road,Dersingham,Norfolk,PE31 6PN,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Diss Library,Church Street,Diss,Norfolk,IP22 3DD,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Downham Market Library,"The Priory Centre, Priory Road",Downham Market,Norfolk,PE38 9JS,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Earlham Library,Colman Road,Norwich,Norfolk,NR4 7HG,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Fakenham Library,Oak Street,Fakenham,Norfolk,NR21 9DY,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Gaywood Library,River Lane,King's Lynn,Norfolk,PE30 4HD,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Gorleston Library,Lowestoft Road,Great Yarmouth,Norfolk,NR31 6SG,,Yes,LAL,,,09:30-17:00,09:30-20:00,09:30-17:00,09:30-20:00,09:30-17:00,09:30-16:00,,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Great Yarmouth Library,Tolhouse Street,Great Yarmouth,Norfolk,NR30 2SH,100091563068,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-19:30,09:00-17:00,09:00-17:00,09:00-16:30,,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Harleston Library,Swan Lane/Paddock Road,Harleston,Norfolk,IP20 9AW,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Hellesdon Library,Middleton's Lane,Norwich,Norfolk,NR6 5SR,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk County Council,Hethersett Library,Queens Road,Hethersett,Norfolk,NR9 3DB,,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,,,,,,,,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
