Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Ayrshire Council,Ardrossan Library,39 Princes Street,,Ardrossan ,KA22 8BT,126060211,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000076,
North Ayrshire Council,Arran Library,Main Street,,Brodick,KA27 8DL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000077,
North Ayrshire Council,Beith Library,39-41 Main Street,,Beith,KA15 2AD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000079,
North Ayrshire Council,Bourtreehill Library,Cheviot Way ,,Bourtreehill ,KA11 1JU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000080,
North Ayrshire Council,Dalry Library,14 The Cross,,Dalry ,KA24 5AW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000081,
North Ayrshire Council,Dreghorn Library,21 Main Street,,Dreghorn,KA11 4AQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000082,
North Ayrshire Council,Fairlie Library,Main Road ,,Fairlie ,KA29 0AD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000083,
North Ayrshire Council,Irvine Library,168 High Street,,Irvine,KA12 8AN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000085,
North Ayrshire Council,Kilbirnie Library,Avils Place,,Kilbirnie,KA25 6BL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000086,
North Ayrshire Council,Kilwinning Library,St Winnings Lane,,Kilwinning,KA13 6EP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000087,
North Ayrshire Council,Largs Library,26 Allanpark Street ,,Largs ,KA30 9AG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000088,
North Ayrshire Council,Millport Library,Garrison House,,The Garrison,KA28 0DG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,millportlibrary@north-ayrshire.gov.uk,
North Ayrshire Council,Saltcoats Library,Springvale Place,,Saltcoats,KA21 5LS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000090,
North Ayrshire Council,Skelmorlie Library,Skelmorlie Community Centre,,Skelmorlie Castle Road,PA17 5AQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000091,
North Ayrshire Council,Springside Library,Springside Community Centre ,,Overtoun Road,KA11 3BG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000092,
North Ayrshire Council,Stevenston Library,1 Main Street,,Stevenston,KA20 3AB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000078,
North Ayrshire Council,West Kilbride Library,Halfway Street,,West Kilbride,KA23 9EQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000093,
