Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Lanarkshire Council,Abronhill Library,17 Pine Road,,Cumbernauld,G67 3BE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/abronhill-library/,
North Lanarkshire Council,Airdrie Library,Wellwynd ,,Airdrie,ML6 0AG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/airdrie-library/,
North Lanarkshire Council,Bellshill Cultural Centre Library,John Street,,Bellshill,ML4 1RJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/bellshill-cultural-centre/,
North Lanarkshire Council,Chapelhall Library,2 Honeywell Crescent,,Airdrie,ML6 8XW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/chapelhall-library/,
North Lanarkshire Council,Chryston Library,Chryston Cultural Centre ,,Lindsaybeg Road ,G69 9DL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/chryston-library/,
North Lanarkshire Council,Cleland Library,Main St,,Cleland,ML1 5QW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/cleland-library/,
North Lanarkshire Council,Coatbridge Library,The Buchanan Centre ,,126 Main Street ,ML5 3BJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/coatbridge-library/,
North Lanarkshire Council,Condorrat Library,North Road ,,Condorrat,G68 9AE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/condorrat-library/,
North Lanarkshire Council,Cumbernauld Library,8 Allander Walk,,Cumbernauld,G67 1EE,118143429,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/cumbernauld-library/,
North Lanarkshire Council,Kilsyth Library,Burngreen,,Kilsyth,G65 0HT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/kilsyth-library/,
North Lanarkshire Council,Moodiesburn Library,Glenmanor Avenue,,Moodiesburn ,G69 0DL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/moodiesburn-library/,
North Lanarkshire Council,Motherwell Library,35 Hamilton Road,, Motherwell,ML1 3BZ,118073840,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/motherwell-library/,
North Lanarkshire Council,Newarthill Library,Kirkhall Road,,Newarthill,ML1 5BB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/newarthill-library/,
North Lanarkshire Council,Newmains Library,The NCT Centre  ,,15 Manse Road ,ML2 9AX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/newmains-library/,
North Lanarkshire Council,New Stevenston Library,Coronation Road East,,New Stevenston,ML1 4HX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/new-stevenston-library/,
North Lanarkshire Council,Shotts Library,Benhar Road,,Shotts,ML7 5EN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/shotts-library/,
North Lanarkshire Council,Stepps Library,10 Blenheim Avenue,,Stepps,G33 6FH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/stepps-library/,
North Lanarkshire Council,Viewpark Library,Burnhead Street,,Viewpark,G71 5AT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/viewpark-library/,
North Lanarkshire Council,Wishaw Library,The Houldsworth Centre,,Wishaw ,ML2 7LP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://culturenl.co.uk/libraries/your-library/wishaw-library/,
