Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Lincolnshire Council,Ashby Community Hub,Ashby High Street,Scunthorpe,North Lincolnshire,DN16 2RY,10091168673,Yes,LAL,2006,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,09:00-12:00,,,,,,,,,,Yes,Adult Learning,,https://www.opac.northlincs.gov.uk/-/ashby-library#/?location=Ashby%20Library,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Baysgarth Community Hub,"Baysgarth Park, Brigg Road,",Barton-upon-Humber,North Lincolnshire,DN18 5DT,10091172528,Yes,LAL,2019,,09:00-18:00,09:00-17:00,09:00-17:00,09:00-18:00,09:00-17:00,09:00-12:00,,,,,,,09:00-15:00,09:00-15:00,,Yes,Leisure Centre & Community Wellbeing,,https://www.opac.northlincs.gov.uk/-/barton-library#/?location=Barton%20Library,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Bottesford Library,Cambridge Avenue,Scunthorpe,North Lincolnshire,DN16 3LG,10091168695,Yes,LAL,2013,,13:00-16:30,,13:00-16:30,09:30-13:00,,,,,,,,,,,,No,,,https://www.opac.northlincs.gov.uk/-/bottesford-library#/?location=Bottesford%20Library,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Brigg Community Hub,"The Angel, Market Place",Brigg,North Lincolnshire,DN20 8LD,10024384197,Yes,LAL,2012,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-12:00,,,,,,,,,,Yes,Heritage Centre,,https://www.opac.northlincs.gov.uk/-/brigg-library#/?location=Brigg%20Library,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Crowle Community Hub,"Market Hall, Market Place, DN17 4LA",Crowle,North Lincolnshire,DN17 4LA,,Yes,LAL,2020,,,,,,,,,,,,,,,,,Yes,,,,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Crowle Library,"Crowle Community Hub, 52-54 High Street",Crowle,North Lincolnshire,DN17 4LB,100051969646,Yes,LAL,,2020,"09:00-12:30,13:00-17:00","09:00-12:30,13:00-17:00","09:00-12:30,13:00-17:00",,"09:00-12:30,13:00-17:00",09:00-12:00,,,,,,,,,,Yes,Post office and Council services,,https://www.opac.northlincs.gov.uk/-/crowle-library#/,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Epworth Library,"Chapel Street, Epworth",Doncaster,North Lincolnshire,DN9 1HQ,100052196316,Yes,LAL,1969,,13:00-17:00,,09:00-12:30,,09:00-14:00,09:00-12:00,,,,,,,,,,Yes,,,https://www.opac.northlincs.gov.uk/-/epworth-library#/,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Goxhill Library,"The Parish Room, Howe Lane, Goxhill",Barrow-upon-Humber,North Lincolnshire,DN19 7HS,200000881468,Yes,CRL,1965,,15:30-18:00,,14:00-17:00,,15:30-18:00,,,,,,,,,,,Yes,,,https://www.opac.northlincs.gov.uk/-/goxhill-library#/,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Haxey Library,"The Memorial Hall, Haxey",Doncaster,North Lincolnshire,DN9 2HH,10091168987,Yes,CRL,1972,,14:00-17:00,09:00-12:00,,,09:00-12:00,10:00-13:00,,,,,,,,,,Yes,,,https://www.opac.northlincs.gov.uk/-/haxey-library#/,library.enquiries@northlincs.gov.uk
North Lincolnshire Council,Kirton in Lindsey Library,"20 King Edward Street, Kirton in Lindsey",Gainsborough,North Lincolnshire,DN21 4NQ,200000877952,Yes,LAL,1966,,,13:30-18:00,11:00-17:00,,09:30-15:30,10:00-13:00,,,,,,,,,,Yes,,,https://www.opac.northlincs.gov.uk/-/kirton-library#/,library.enquiries@northlincs.gov.uk
