Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Northamptonshire Council,Burton Latimer,High Street,Burton Latimer,Northamptonshire,NN15 5RH,100032143427,No,CRL,,,,09:30-17:00,09:30-17:00,10:00-17:00,09:30-17:00,10:00-12:00,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/burton-latimer-community-library,BurtonLatimerCML@gmail.com
North Northamptonshire Council,Corby,"9 The Links, Queens Square",Corby,Northamptonshire,NN17 1PZ,10006865975,Yes,LAL,,2010,,,,,,,,,,,,,,,,No,,,,
North Northamptonshire Council,Corby,"The Cube, George Street",Corby,Northamptonshire,NN17 1QG,10024042370,Yes,LAL,2010,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,Yes,"The Building houses the Council Chamber & Associated Council Services for Corby Borough Council,  Registrar Services & Theatres",,https://www.northnorthants.gov.uk/list-libraries/corby-library,Corby.LibraryPlus@northnorthants.gov.uk
North Northamptonshire Council,Danesholme,14 Neighbourhood Centre,Corby,Northamptonshire,NN18 9EJ,10006865901,No,CRL,,,15:00-17:00,15:00-18:00,,14:00-16:00,"10:00-12:00,14:00-16:00",,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/danesholme-community-library,DanesholmeCML@gmail.com
North Northamptonshire Council,Desborough,High Street,Desborough,Northamptonshire,NN14 2SQ,100032142397,No,CRL,,,,09:30-16:00,09:30-16:00,09:00-17:00,10:00-17:00,10:00-12:00,,,,,,,,,,Yes,Town Council,,https://www.northnorthants.gov.uk/list-libraries/desborough-community-library,DesboroughCML@gmail.com
North Northamptonshire Council,Earls Barton,Broad Street ,Earls Barton,Northamptonshire,NN6 0ND,100032151218,No,CRL,,,14:00-17:00,14:00-17:00,10:00-13:00,14:00-17:00,14:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/earls-barton-community-library,EarlsBartonCML@gmail.com
North Northamptonshire Council,Finedon,Berry Green Road,Finedon,Northamptonshire,NN9 5JL,100032265450,No,CRL,,,,13:30-17:00,10:00-12:00,,13:30-17:00,10:00-13:00,,,,,,,,,,Yes,Community Rooms,,https://www.northnorthants.gov.uk/list-libraries/finedon-community-library,FinedonCML@gmail.com
North Northamptonshire Council,Higham Ferrers,Midland Road,Higham Ferrers,Northamptonshire,NN10 8DN,200000733430,No,LAL,,2020,,,,,,,,,,,,,,,,No,,,,
North Northamptonshire Council,Irchester,High Street,Irchester,Northamptonshire,NN29 7AA,100032147932,No,CRL,,,,,10:00-16:00,,14:00-18:00,10:00-12:00,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/irchester-community-library,IrchesterCML@gmail.com
North Northamptonshire Council,Irthlingborough,High Street,Irthlingborough,Northamptonshire,NN9 5PU,200000734207,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-14:00,,,,,,,,,,Yes,Community Interest Company,,https://www.northnorthants.gov.uk/list-libraries/irthlingborough-library,Irthlingborough.LibraryPlus@northnorthants.gov.uk
North Northamptonshire Council,Kettering,Sheep Street,Kettering,Northamptonshire,NN16 0AY,100032144082,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,Yes,Registrar Services,,https://www.northnorthants.gov.uk/list-libraries/kettering-library,kettering.libraryplus@northnorthants.gov.ukÂ 
North Northamptonshire Council,Oundle,Glapthorne Road,Oundle,Northamptonshire,PE8 4JA,100032263041,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-14:00,,,,,,,,,,Yes,Children Centre,,https://www.northnorthants.gov.uk/list-libraries/oundle-library,Oundle.LibraryPlus@northnorthants.gov.uk
North Northamptonshire Council,Raunds,High Street,Raunds,Northamptonshire,NN9 6HT,200000736557,No,CRL,,,,"10:00-12:00,14:00-16:00",14:00-16:00,14:00-18:00,10:00-12:00,,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/raunds-community-library,RaundsCML@gmail.com
North Northamptonshire Council,Rothwell,Market Hill,Rothwell,Northamptonshire,NN14 6EP,100032143223,No,CRL,,,10:00-16:00,,10:00-16:00,,10:00-16:00,10:00-13:00,,,,,,,,,,Yes,,,https://www.northnorthants.gov.uk/list-libraries/rothwell-community-library,RothwellCML@gmail.comÂ 
North Northamptonshire Council,Rushden,Newton Road,Rushden,Northamptonshire,NN10 0PT,200000740024,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,Yes,Council Offices & Some NHS Services,,https://www.northnorthants.gov.uk/list-libraries/rushden-library,Rushden.libraryplus@northnorthants.gov.ukÂ 
North Northamptonshire Council,Thrapston,High Street,Northampton,Northamptonshire,NN14 4JJ,100032142975,No,CRL,,,,"10:00-13:00,16:00-19:00",,14:00-17:00,10:00-13:00,10:00-13:00,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/thrapston-community-library,ThrapstonCML@gmail.com
North Northamptonshire Council,Wellingborough,Pebble Lane,Wellingborough,Northamptonshire,NN8 1AS,100032154375,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,,,,,,,,,,Yes,Registrar Services,,https://www.northnorthants.gov.uk/list-libraries/wellingborough-library,Wellingborough.libraryplus@northnorthants.gov.uk
North Northamptonshire Council,Wollaston,Newton Road,Wollaston,Northamptonshire,NN29 7QN,100032147933,No,CRL,,,10:00-12:00,13:00-17:00,10:00-12:00,14:30-16:30,,09:30-11:30,,,,,,,,,,No,,,https://www.northnorthants.gov.uk/list-libraries/wollaston-community-library,WollastonCML@gmail.com
