Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Yorkshire Council,Barlby Library & Community Hub,Howden Road,Selby,North Yorkshire,YO8 5JE,,Yes,CRL,,,,14:00-19:00,14:00-17:00,,14:00-17:00,10:00-12:00,,,,,,,,,,Yes,,,,barlbylibraryvolunteers@yahoo.co.uk
North Yorkshire Council,Bedale Library,Bedale Hall,Bedal,North Yorkshire,DL8 1AA,,Yes,CRL,,,14:00-17:00,10:00-16:00,14:00-17:00,15:00-18:00,10:00-16:00,09:30-12:30,,,,,,,,,,No,,,,library@bedalecommunitylibrary.org.uk
North Yorkshire Council,Bentham Library,Main Street,Lancester,North Yorkshire,LA2 7JU,,No,CRL,,2017,14:30-17:00,,10:00-14:00,,14:30-16:30,10:00-12:00,,,,,,,,,,No,,,,
North Yorkshire Council,Bentham Library,,,,LA2 7HG,,Yes,CRL,2017,,,,,,,,,,,,,,,,,Yes,,,,library@pioneerprojects.org.uk
North Yorkshire Council,Bilton & Woodfield Community Library,"Woodfield Primary School, Woodfield Road",Harrogate,North Yorkshire,HG1 4HZ,,Yes,CRL,2014,,13:00-19:00,09:30-17:00,,09:30-17:00,09:30-17:00,09:30-13:00,,,,,,,,,,Yes,,,,info@biltonandwoodfield.org.uk
North Yorkshire Council,Boroughbridge Library,17 St. James Square,York,North Yorkshire,YO51 9AR,,Yes,CRL,,,14:00-17:00,14:00-17:00,10:00-13:00,10:00-13:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,contact@boroughbridgelibrary.org.uk
North Yorkshire Council,Catterick Library,Gough Road,Catterick Garrison,North Yorkshire,DL9 3EL,,Yes,CRL,2009,,10:00-17:00,10:00-17:00,10:00-19:00,10:00-19:00,10:00-13:00,10:00-13:00,,,,,,,,,,Yes,,,,catterick@craccl.org
North Yorkshire Council,Colburn Library,The Broadway,Catterick Gardens,North Yorkshire,DL9 4RF,,Yes,CRL,,,14:00-17:00,14:00-17:00,,10:00-17:00,10:00-17:00,10:00-12:00,,,,,,,,,,Yes,,,,colburn@craccl.org
North Yorkshire Council,Derwent Valley Bridge Community Library,3 Pickering Road,Scarborough,North Yorkshire,YO13 9JE,,Yes,CRL,,,,10:00-19:00,10:00-17:00,,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,derwentvalleybridge@gmail.com
North Yorkshire Council,Easingwold Library,Marketplace,York,North Yorkshire,YO61 3AN,,Yes,CRL,,,10:00-17:00,14:00-17:00,,13:00-18:00,09:30-17:00,10:00-12:30,,,,,,,,,,No,,,,ecl.generalenquiries@gmail.com
North Yorkshire Council,Eastfield Library,High Street,Scarborough,North Yorkshire,YO11 3LL,,Yes,CRL,,,10:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,10:00-17:00,10:00-12:00,,,,,,,,,,No,,Previously called Eastfield community library - More Than Books,,morethanbooks10@gmail.com
North Yorkshire Council,Embsay-with-Eastby Community Library,"The Institute, Main Street",Skipton,North Yorkshire,BD23 6RE,,Yes,CRL,,,,,,14:00-18:00,14:00-17:00,10:00-12:30,,,,,,,,,,Yes,,,,info@embsaylibrary.org.uk
North Yorkshire Council,Filey Library,Station Avenue,Filey,North Yorkshire,YO14 9AE,,Yes,LAL,,,10:00-17:00,,10:00-19:00,13:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,filey.library@northyorks.gov.uk
North Yorkshire Council,Gargrave & Malhamdale Community Library,"Gargrave Village Hall, West Street",Skipton,North Yorkshire,BD23 3RD,,Yes,CRL,,,15:00-18:00,,14:00-17:00,,14:00-17:00,10:00-13:00,,,,,,,,,,Yes,,,,admin@gargravelibrary.co.uk
North Yorkshire Council,Grassington Hub & Community Library,Garrs Lane,Skipton,North Yorkshire,BD23 5AT,,Yes,CRL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,Yes,,,,enquiries@grassingtonhub.com
North Yorkshire Council,Great Ayton Discovery Centre,"105b High Street, Great Ayton",Middlesbrough,North Yorkshire,TS9 6NB,,Yes,CRL,,,,10:30-17:00,10:30-17:00,10:30-17:00,10:30-17:00,10:30-17:00,,,,,,,,,,No,,,,gadc-library@outlook.com
North Yorkshire Council,Harrogate Library,Victoria Avenue,Harrogate,North Yorkshire,HG1 1EG,10003033523,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,10:00-18:00,09:00-19:00,09:00-16:00,,,,,,,,,,No,,,,harrogate.library@northyorks.gov.uk
North Yorkshire Council,Hawes Library,"The Neukin, Marketplace",Hawes,North Yorkshire,DL8 3RA,,Yes,CRL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-12:00,,,,,,,,,,Yes,,,,hawes.library@outlook.com
North Yorkshire Council,Helmsley Library,Town Hall,Helmsley,North Yorkshire,YO62 5BL,,Yes,CRL,,,,10:00-13:00,10:00-13:00,10:00-16:00,10:00-16:00,10:00-13:00,,,,,,,,,,No,,,,helmsleylibrary@gmail.com
North Yorkshire Council,Ingleton Library,"Ingleborough Community Centre, Main Street",Ingleton,North Yorkshire,LA6 3HG,,Yes,CRL,,,09:00-19:00,09:00-16:00,09:00-18:00,09:00-16:00,09:00-17:00,10:00-12:00,,,,,,,,,,Yes,,,,ingletonlibrary@gmail.com
North Yorkshire Council,Kirkbymoorside Library,"Church House, 7 High Marketplace",Kirkbymoorside,North Yorkshire,YO62 6AT,,Yes,CRL,,,09:30-17:00,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-12:30,,,,,,,,,,No,,,,kirkbylibrary@outlook.com
North Yorkshire Council,Knaresborough Library,Marketplace,Knaresborough,North Yorkshire,HG5 8AG,,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-13:00,09:30-19:00,09:30-13:30,,,,,,,,,,No,,,,knaresborough.library@northyorks.gov.uk
North Yorkshire Council,Leyburn Library,Thornborough Hall,Leyburn,North Yorkshire,DL8 5AB,10034646780,Yes,CRL,,,10:00-16:00,10:00-18:00,,,10:00-16:00,10:00-12:30,,,,,,,,,,Yes,,,,contact@leyburntowncouncil.co.uk
North Yorkshire Council,Malton Library,St. Michael Street,Malton,North Yorkshire,YO17 7LJ,,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,,09:30-17:00,09:30-12:30,,,,,,,,,,No,,,,malton.library@northyorks.gov.uk
North Yorkshire Council,Mashamshire Community Library,"Mashamshire Community Office, Little Market Place",Masham,North Yorkshire,HG4 4DY,,Yes,CRL,,,10:00-15:00,10:00-15:00,10:00-16:00,10:00-15:00,10:00-15:00,10:00-14:00,,,,,,,,,,Yes,,,,library@visitmasham.com
North Yorkshire Council,Newby & Scalby Library & Information Centre,450 Scalby Road,Scarborough,North Yorkshire,YO12 6EE,,Yes,CRL,,,10:00-17:30,10:00-17:30,10:00-17:30,,10:00-19:00,10:00-13:30,,,,,,,,,,No,,,,snltrustees@gmail.com
North Yorkshire Council,Nidderdale Plus Community Library,"Station Square, King Street",Pateley Bridge,North Yorkshire,HG3 5AT,,Yes,CRL,2016,,10:00-17:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-13:00,,,,,,,,,,Yes,,,,admin@nidderdaleplus.org.uk
North Yorkshire Council,Northallerton Library,1 Thirsk Road,Northallerton,North Yorkshire,DL6 1PT,100051958102,Yes,LAL,,,09:30-18:00,09:30-17:00,09:30-18:00,13:00-17:00,09:30-17:00,09:30-13:30,,,,,,,,,,No,,,,northallerton.library@northyorks.gov.uk
North Yorkshire Council,Norton Library,Commercial Street,Malton,North Yorkshire,YO17 9ES,,Yes,CRL,,,,09:30-19:00,,09:30-18:00,09:30-18:00,10:00-16:00,,,,,,,,,,No,,,,nortoncommunitylibrary@gmail.com 
North Yorkshire Council,Pateley Bridge Library,28 High Street,Harrogate,North Yorkshire,HG3 5JU,,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
North Yorkshire Council,Pickering Library,The Ropery,Pickering,North Yorkshire,YO18 8DY,,Yes,LAL,,,09:00-17:00,10:00-17:00,,10:00-19:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,,pickering.library@northyorks.gov.uk
North Yorkshire Council,Richmond Library,Queen's Road,Richmond,North Yorkshire,DL10 4AE,,Yes,CRL,,,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,Yes,,,,richmond@craccl.org
North Yorkshire Council,Ripon Library,The Arcade,Ripon,North Yorkshire,HG4 1AG,,Yes,LAL,,,10:00-18:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,,Â ripon.library@northyorks.gov.uk
