Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Northumberland County Council,Allendale Library,Dawson Place,Hexham,Northumberland,NE47 9PP,,Yes,LAL,,,,10:00-12:00,,12:30-18:00,,,,,,,,,,,,No,,,http://www.mylibrary.co.uk/,
Northumberland County Council,Alnwick Library,Alnwick Playhouse,Alnwick,Northumberland,NE66 1PQ,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,,,,,,,,,Yes,Theatre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Amble Library,Middleton Street,Amble,Northumberland,NE65 0ET,,Yes,LAL,,,10:00-19:00,,10:00-19:00,,10:00-17:00,09:30-12:30,,,,,,,,,,No,,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland County Council,Ashington Library,"Ashington Leisure Centre, Portland Park",Ashington,Northumberland,NE63 9JY,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,,,,,,,,,,Yes,Leisure Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Bedlington Library,Glebe Road,Bedlington,Northumberland,NE22 6JX,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,,,,,,,,,,Yes,Customer Services,,http://www.mylibrary.co.uk/,
Northumberland County Council,Bedlington Station Library,East Bedlington Community Centre ,Bedlington,Northumberland,NE22 5JN,,Yes,LAL,2022,,,,,,,,,,,,,,,,,Yes,,,,
Northumberland County Council,Bedlington Station Library,Station Road,Bedlington,Northumberland,NE22 5HB,,Yes,LAL,,2022,13:00-17:00,,,,13:00-17:00,10:00-12:00,,,,,,,,,,No,,,http://www.mylibrary.co.uk/,
Northumberland County Council,Bellingham Library,"Bellingham Town Hall, Manchester Square",Bellingham,Northumberland,NE48 2AS,,Yes,LAL,,,,,10:00-17:00,,10:00-17:00,,,,,,,,,,,Yes,Town Hall,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland County Council,Berwick Library,Walkergate,Berwick-upon-Tweed,Northumberland,TD15 1DB,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-17:00,,,,,,,,,,Yes,Number of Council Services,,http://www.mylibrary.co.uk/,
Northumberland County Council,Blyth Library,Bridge Street,Blyth,Northumberland,NE24 2DJ,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-17:00,09:00-19:00,09:00-17:00,09:30-12:30,,,,,,,,,,Yes,Customer Services,,http://www.mylibrary.co.uk/,
Northumberland County Council,Corbridge Library,Hill Street,Corbridge,Northumberland,NE45 5AA,,Yes,LAL,,,,,11:00-16:00,,11:00-16:00,11:00-16:00,,,,,,,,,,Yes,Youth Project,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland County Council,Cowpen,"Community College, Chase Farm Drive",Blyth,Northumberland,NE24 4JP,,No,CRL,,2017,,,,,,,,,,,,,,,,No,,,http://www.mylibrary.co.uk/,
Northumberland County Council,Cramlington Library,"The Hub at Cramlington, Forum Way",Cramlington,Northumberland,NE23 6YB,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:30-13:00,,,,,,,,,,Yes,Leisure Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Ellington Library,Lynemouth Road,Morpeth,Northumberland,NE61 5HN,,No,ICL,,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,10:00-17:00,13:00-17:00,,,,,,,,,Yes,Village Hall,,http://www.mylibrary.co.uk/,
Northumberland County Council,Guide Post Library,1 The Square,Choppington,Northumberland,NE62 5BZ,,Yes,LAL,,,10:00-17:00,,,,10:00-17:00,10:00-12:00,,,,,,,,,,Yes,SLS,Lunchtime closure,http://www.mylibrary.co.uk/,guidepost.library@northumberland.gov.uk
Northumberland County Council,Hadston House Library,Hadston Road,Morpeth,Northumberland,NE65 9SF,,No,CRL,,,,,,,,,,,,,,,,,,Yes,Community Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Haltwhistle Library,Westgate,Haltwhistle,Northumberland,NE49 0AX,,Yes,LAL,,,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-13:00,,,,,,,,,,Yes,Town Council,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland County Council,Haydon Bridge Library,Church Street,Haydon Bridge,Northumberland,NE47 6JQ,,Yes,CRL,,,09:00-12:00,13:00-16:00,13:00-16:00,,16:00-18:30,09:30-12:30,,,,,,,,,,No,,,http://www.mylibrary.co.uk/,
Northumberland County Council,Heddon Library,Towne Gate,Newcastle upon Tyne,Northumberland,NE15 0EJ,2920000455,Yes,CRL,,,,13:00-17:00,,,13:00-17:00,10:00-12:00,,,,,,,,,,Yes,Business Incubators,,http://www.mylibrary.co.uk/,
Northumberland County Council,Hexham Library,"Queens Hall, Beaumont Street",Hexham,Northumberland,NE46 3LS,,Yes,LAL,,,09:00-18:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:30-17:00,,,,,,,,,,Yes,Number of Council Services in Arts Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Hirst Library,"Hirst Welfare Centre, Alexandra Road",Ashington,Northumberland,NE63 9RX,,Yes,LAL,,,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,09:00-16:00,09:00-16:00,,,,,,,,,Yes,Leisure Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Kielder Library,Kielder Community First School,Kielder,Northumberland,NE48 1HQ,,Yes,LAL,,,,,,,14:00-18:00,,,,,,,,,,,Yes,School,,http://www.mylibrary.co.uk/,
Northumberland County Council,Lynemouth Library,Bridge Road,Morpeth,Northumberland,NE61 5YL,,Yes,LAL,,,09:30-16:45,,,14:30-16:45,,,,,,,,,,,,Yes,Day Centre,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland County Council,Morpeth Chantry Library,Bridge Street,Morpeth ,Northumberland,NE61 1PD,,No,LAL-,2020,,,,,,,,,,,,,,,,,Yes,,,,
Northumberland County Council,Morpeth Library,"Royal Sovereign House, Manchester Street",Morpeth,Northumberland,NE61 1AF,,Yes,LAL,,,09:00-18:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:30-12:30,,,,,,,,,,Yes,Customer Services,,http://www.mylibrary.co.uk/,
Northumberland County Council,Newbiggin Library,"Newbiggin Community Hub, Woodhorn Road",Newbiggin-by-the-Sea,Northumberland,NE64 6HG,,Yes,LAL,,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-18:00,08:00-22:00,,,,,,,,,Yes,Leisure Centre,Refurbishment,http://www.mylibrary.co.uk/,
Northumberland County Council,Ponteland Library,"Leisure Centre, Callerton Lane",Ponteland,Northumberland,NE20 9EG,,Yes,LAL,,,07:00-22:00,07:00-02:00,07:00-22:00,07:00-22:00,07:00-22:00,08:00-18:00,09:00-20:00,,,,,,,,,Yes,Leisure Centre,,http://www.mylibrary.co.uk/,
Northumberland County Council,Prudhoe Library,"Spetchells Centre, 58 Front Street",Prudhoe,Northumberland,NE42 5AA,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-18:00,09:00-17:00,09:30-13:00,,,,,,,,,,Yes,Number of Organisations in a Partnership Building,,http://www.mylibrary.co.uk/,
