Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Oldham Metropolitan Borough Council,Chadderton Library & Wellbeing Centre,Burnley Street,Oldham,Greater Manchester,OL9 0JW,422000119602,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,Leisure Centre,,http://www.oldham.gov.uk/find_a_library,chadderton.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Crompton Library,Farrow Street East,Oldham,Greater Manchester,OL2 8QY,422000110910,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:30-13:00,,,,,,,,,,No,,,http://www.oldham.gov.uk/find_a_library,crompton.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Delph Library,"Millgate, Delph",Oldham,Greater Manchester,OL3 5JG,100012737761,Yes,CRL,,,,14:00-17:00,14:00-19:00,13:00-18:00,09:30-13:00,09:30-13:00,,,,,,,,,,Yes,Millgate Arts Centre,,http://www.oldham.gov.uk/find_a_library,delph.library@outlook.com
Oldham Metropolitan Borough Council,Failsworth Library,"Town Hall, Oldham Road",Failsworth,Greater Manchester,M35 0FJ,422000028166,Yes,LAL,2011,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:30-13:00,,,,,,,,,,Yes,District Team & Lifelong Learning,Relocated back to Failsworth Town Hall in 2011,http://www.oldham.gov.uk/find_a_library,failsworth.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Fitton Hill Library,"Fitton Hill Neighbourhood Centre, Fircroft Road",Oldham,Greater Manchester,OL8 2QD,422000124486,Yes,LAL,2012,,,14:00-17:00,14:00-19:00,14:00-19:00,09:30-13:00,09:30-13:00,,,,,,,,,,Yes,Health Centre & Nursery,Relocated to a new build in 2012,http://www.oldham.gov.uk/find_a_library,fitton.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Greenfield Library,Chew Vale,Oldham,Greater Manchester,OL3 7EQ,100012738128,Yes,LAL,,,,14:00-17:00,14:00-19:00,14:00-19:00,09:30-13:00,09:30-13:00,,,,,,,,,,No,,,http://www.oldham.gov.uk/find_a_library,greenfield.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Lees Library Community Hub,Thomas Street,Oldham,Greater Manchester,OL4 5DA,100012739380,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:30-13:00,,,,,,,,,,No,,,http://www.oldham.gov.uk/find_a_library,lees.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Limehurst Library,"St. Chad's Centre, Lime Green Parade",Oldham,Greater Manchester,OL8 3HH,422000109891,Yes,LAL,,,,14:00-17:00,14:00-19:00,14:00-19:00,09:30-13:00,09:30-13:00,,,,,,,,,,Yes,"Housing Association, Pharmacy, GP Surgery & Childrens Centre",,http://www.oldham.gov.uk/find_a_library,limehurst.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Northmoor Library,Chadderton Way,Oldham,Greater Manchester,OL9 6DH,100012743814,Yes,LAL,,,,14:00-17:00,14:00-19:00,14:00-19:00,09:30-13:00,09:30-13:00,,,,,,,,,,No,,,http://www.oldham.gov.uk/find_a_library,northmoor.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Oldham Library & Lifelong Learning Centre,Greaves Street,Oldham,Greater Manchester,OL1 1AL,422000111350,Yes,LAL,,,09:00-21:30,09:00-21:30,09:00-21:30,09:00-21:30,09:00-17:00,09:00-17:00,,,,,,,,,,Yes,Gallery Oldam & Lifelong Learning,,http://www.oldham.gov.uk/find_a_library,oldham.library@oldham.gov.uk
Oldham Metropolitan Borough Council,Royton Library,Rochdale Road,Oldham,Greater Manchester,OL2 6QJ,100012736724,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:30-13:00,,,,,,,,,,Yes,District Team & Police,,http://www.oldham.gov.uk/find_a_library,royton.librarygeneral@oldham.gov.uk
Oldham Metropolitan Borough Council,Uppermill Library,"St. Chad's, High Street",Oldham,Greater Manchester,OL3 6AP,100012737883,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,09:30-13:00,,,,,,,,,,Yes,District Team,,http://www.oldham.gov.uk/find_a_library,uppermill.librarygeneral@oldham.gov.uk
