Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Rotherham Metropolitan Borough Council,Aston Branch Library,Aughton Road,Swallownest,South Yorkshire,S26 4SF,,Yes,LAL,,2010,,,,,,,,,,,,,,,,No,,,,
Rotherham Metropolitan Borough Council,Aston Library & Customer Service Centre,Worksop Road,Swallownest,South Yorkshire,S26 4WD,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-17:00,09:00-13:00,,,,,,,,,,No,,,,aston.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Brinsworth Library,Ellis Street,Brinsworth,South Yorkshire,S60 5DJ,,Yes,LAL,,,09:00-16:30,09:00-18:00,,09:00-17:30,,09:00-13:00,,,,,,,,,,No,,,,brinsworth.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Central Library and Arts Centre,Walker Place,Rotherham,South Yorkshire,S65 1JH,,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Rotherham Metropolitan Borough Council,Dinnington Library & Customer Service Centre,Laughton Road,Dinnington,South Yorkshire,S25 2PP,,No,LAL,,,09:00-17:30,09:00-19:00,09:00-17:30,09:00-14:00,09:00-19:00,09:00-13:00,,,,,,,,,,No,,,,dinnington.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Greasbrough Library,Coach Road,Greasbrough,South Yorkshire,S61 4PU,,No,LAL,,,09:00-17:00,09:00-17:00,,09:00-19:00,09:00-14:00,09:00-13:00,,,,,,,,,,No,,,,greasbrough.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Kimberworth Library,Church Street,Kimberworth,South Yorkshire,S61 1HA,,No,LAL,,,09:30-13:00,09:30-13:00,,13:30-19:00,13:30-17:30,09:30-13:00,,,,,,,,,,No,,,,kimberworth.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Kiveton Park Library,Wales Road,Kiveton Park,South Yorkshire,S26 6RB,,No,LAL,,,09:00-18:30,09:00-13:00,,09:00-18:30,09:00-17:00,09:00-13:00,,,,,,,,,,No,,,,kivetonpark.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Maltby Library,High Street,Maltby,South Yorkshire,S66 8LD,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
Rotherham Metropolitan Borough Council,Maltby Library & Customer Service Centre,Braithwell Road,Maltby,South Yorkshire,S66 8JE,,Yes,LAL,2018,,09:00-19:00,09:00-14:00,09:00-17:30,09:00-19:00,09:00-17:30,09:00-13:00,10:00-14:00,,,,,,,,,Yes,"Sports Centre, GP surgery, Pharmacy & NHS Services",,,maltby.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Mowbray Gardens Library,Herringthorpe Valley Road,Rotherham,South Yorkshire,S65 2UH,,Yes,LAL,,,09:00-19:00,09:00-14:00,,09:00-17:30,09:00-17:30,09:00-13:00,10:00-14:00,,,,,,,,,No,,,,mowbraygardens.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Rawmarsh Branch Library,Rawmarsh Hill,Rotherham,South Yorkshire,S62 6DS,,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Rotherham Metropolitan Borough Council,Rawmarsh Library &  Customer Service Centre,Barbers Avenue,Rawmarsh,South Yorkshire,S62 6AA,,Yes,LAL,,,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:00,09:00-13:00,,,,,,,,,,No,,,,rawmarsh.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Riverside House Library & Customer Service Centre,Main Street,Rotherham,South Yorkshire,S60 1AE,,Yes,LAL,,,08:30-19:00,08:30-17:30,08:30-17:30,08:30-19:00,08:30-17:30,09:00-16:00,,,,,,,,,,No,,,,central.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Swinton Library & Customer Service Centre,Station Street,Swinton,South Yorkshire,S64 8PZ,,Yes,LAL,,,09:00-18:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-13:00,,,,,,,,,,No,,,,swinton.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Thorpe Hesley Library,Soughall Avenue,Thorpe Hesley,South Yorkshire,S61 2QJ,,Yes,LAL,,,13:30-16:30,09:30-12:30,,09:30-19:00,09:30-13:00,09:30-12:00,09:30-12:00,,,,,,,,,No,,,,thorpehesley.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Thurcroft Library,School Road,Thurcroft,South Yorkshire,S66 9DE,,Yes,LAL,,,13:30-19:00,10:00-17:00,,10:00-12:30,10:00-12:30,09:30-13:00,,,,,,,,,,No,,,,thurcroft.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Wath Library,Montgomery Square,Wath,South Yorkshire,S63 7RZ,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-13:00,,,,,,,,,,No,,,,wath.library@rotherham.gov.uk
Rotherham Metropolitan Borough Council,Wickersley Library,286 Bawtry Road,Wickersley,South Yorkshire,S66 1JJ,,Yes,LAL,,,09:00-17:00,09:00-19:00,09:00-13:00,09:00-19:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,,wickersley.library@rotherham.gov.uk
