Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Royal Borough of Greenwich,Abbey Wood Library,Eynsham Drive,Abbey Wood,Kent,SE2 9PT,,Yes,CL,,,14:00-19:00,09:00-17:30,,14:00-19:00,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,http://www.better.org.uk/venues/abbey-wood-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Blackheath Library,Old Dover Road,Blackheath,Kent,SE3 7BT,,Yes,CL,,,10:00-19:00,09:00-17:30,09:00-17:30,09:00-19:00,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,http://www.better.org.uk/areas/greenwich/venues/blackheath-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Charlton Library,"Charlton House, Charlton Road",Greenwich,Kent,SE7 8RE,,Yes,CL,,,14:00-19:00,09:00-17:30,,14:00-19:00,09:00-17:30,09:00-17:00,,,,,,,,,,Yes,Charlton House,,http://www.better.org.uk/areas/greenwich/venues/charlton-house-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Coldharbour Library,William Barefoot Drive,Eltham,Kent,SE9 3AY,,Yes,CL,,,14:00-17:30,09:00-17:30,,14:00-17:30,09:00-17:30,09:00-17:00,,,,,,,,,,No,,,http://www.better.org.uk/areas/greenwich/venues/coldharbour-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,East Greenwich Library,,,,SE10 0RL,,Yes,LAL,,2015,,,,,,,,,,,,,,,,No,,,,
Royal Borough of Greenwich,Eltham Centre Library,2 Archery Road,Eltham,Kent,SE9 1HA,,Yes,CL,,,09:00-19:00,09:00-17:30,09:00-17:30,09:00-19:00,09:00-17:30,09:00-17:00,10:00-16:00,,,,,,,,,Yes,"Eltham Centre (Leisure Centre, Council Services)",,http://www.better.org.uk/areas/greenwich/venues/eltham-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Ferrier Library,,,,SE3 9YR,,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Royal Borough of Greenwich,Greenwich Centre Library,12 Lambarde Square,Greenwich,Kent,SE10 9GB,,Yes,CL,2015,,10:00-18:00,10:00-18:00,10:00-20:00,10:00-18:00,10:00-18:00,10:00-17:00,12:00-16:00,,,,,,,,,Yes,"Leisure Centre, Health Centre, Training Providers",,http://www.better.org.uk/areas/greenwich/venues/greenwich-centre-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,New Eltham Library,Southwood Road,New Eltham,Kent,SE9 3QT,,Yes,CL,,,14:00-19:00,09:00-17:30,,14:00-19:00,09:00-17:30,09:00-17:00,,,,,,,,,,Yes,Community Association of New Eltham,,http://www.better.org.uk/areas/greenwich/venues/new-eltham-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Plumstead Library,232 Plumstead High Street,Greenwich,Kent,SE18 1JL,,Yes,CL,,,09:00-19:00,09:00-17:30,,09:00-19:00,09:00-17:30,09:30-17:00,,,,,,,,,,Yes,The Plumstead Centre (Leisure & Community Centre),In temporary building (1 Abery St) until February 2020,,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Slade Centre Library,Erindale,Plumstead,Kent,SE18 2QQ,,Yes,CL,,,14:00-19:00,09:00-17:30,,14:00-19:00,09:00-17:30,09:00-17:00,,,,,,,,,,Yes,Community Hall & Children's Centre,,http://www.better.org.uk/areas/greenwich/venues/slade-centre-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Thamesmere Library,Thamesmere Drive,Thamesmead,Kent,SE28 8DT,,Yes,CL,,,09:00-19:00,09:00-17:30,09:00-17:30,09:00-19:00,09:00-17:30,09:00-17:00,08:00-17:00,,,,,,,,,Yes,Thamesmere Leisure Centre,,http://www.better.org.uk/areas/greenwich/venues/thamesmere-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,West Greenwich Library,Greenwich High Road,West Greenwich,Kent,SE10 8NN,,Yes,CL,,,14:00-19:00,09:00-17:30,,09:00-19:00,14:00-17:30,09:00-17:00,,,,,,,,,,No,,,http://www.better.org.uk/areas/greenwich/venues/west-greenwich-library,Greenwich.libraries@gll.org
Royal Borough of Greenwich,Woolwich Library,35 Wellington Street,Woolwich,Kent,SE18 6HQ,,Yes,CL,2011,,09:00-19:00,09:00-17:30,09:00-17:30,09:00-19:00,09:00-17:30,09:00-17:00,12:00-16:00,,,,,,,,,Yes,The Woolwich Centre (Council Services),,http://www.better.org.uk/areas/greenwich/venues/woolwich-library,Greenwich.libraries@gll.org
