Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Shropshire Council,Albrighton,Station Road,Wolverhampton,Shropshire,WV7 3QH,100071566754,Yes,CL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,Yes,Parish Council,,http://new.shropshire.gov.uk/libraries/find-a-library/albrighton-library/,Albrighton.library@shropshire.gov.uk
Shropshire Council,Bayston Hill,Lythwood Road,Shrewsbury,Shropshire,SY3 0NA,100071536731,Yes,LAL,,,,10:00-17:00,,10:00-17:00,10:00-17:00,09:30-13:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/bayston-hill-library/,Baystonhill.library@shropshire.gov.uk
Shropshire Council,Bishop's Castle,"Enterprise House, Station Road ",Bishops Castle,Shropshire,SY9 5AQ,,Yes,CL,,,10:00-14:00,10:00-19:00,,,10:00-19:00,09:30-13:00,,,,,,,,,,Yes,Enterprise Southwest Shropshire,,http://new.shropshire.gov.uk/libraries/find-a-library/bishops-castle-library/,BishopsCastle.Library@shropshire.gov.uk
Shropshire Council,Bridgnorth,Listley Street,Bridgnorth,Shropshire,WV16 4AW,100071400907,Yes,LAL,,,09:30-18:00,09:30-17:00,09:30-17:00,,09:30-17:00,09:30-15:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/bridgnorth-library/,Bridgnorth.Library@shropshire.gov.uk
Shropshire Council,Broseley,The Old School,Broseley,Shropshire,TF12 5EL,100071543216,Yes,CL,,,14:00-18:00,,,09:30-18:00,14:00-18:00,09:30-13:00,,,,,,,,,,Yes,Town Council,,http://new.shropshire.gov.uk/libraries/find-a-library/broseley-library/,Broseley.Library@shropshire.gov.uk
Shropshire Council,Church Stretton,Church Street,Church Stretton,Shropshire,SY6 6DQ,100071540166,Yes,LAL,,,,09:30-19:30,,09:30-17:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/church-stretton-library/,ChurchStretton.Library@shropshire.gov.uk
Shropshire Council,Cleobury Mortimer,Love Lane,Cleobury Mortimer,Worcestershire,DY14 8PE,10014530222,Yes,CL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-12:00,,,,,,,,,,Yes,Cleobury Country,,http://new.shropshire.gov.uk/libraries/find-a-library/cleobury-mortimer-library/,CleoburyMortimer.Library@shropshire.gov.uk
Shropshire Council,Craven Arms,Newington Way,Craven Arms,Shropshire,SY7 9PS,100071540506,Yes,CL,2013,,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-17:30,,,,,,,,,,,Yes,Parish Council,,http://new.shropshire.gov.uk/libraries/find-a-library/craven-arms-library/,CravenArms.Library@shropshire.gov.uk
Shropshire Council,Ellesmere,"Library at Our Space, Trimpley Street",Ellesmere,Shropshire,SY12 0AE,100071534146,Yes,LAL,,,,10:00-18:00,,,10:00-17:00,09:30-16:00,,,,,,,,,,Yes,Bethphage,,http://new.shropshire.gov.uk/libraries/find-a-library/ellesmere-library/,Ellesmere.Library@shropshire.gov.uk
Shropshire Council,Gobowen,St. Martins Road,Gobowen,Shropshire,SY11 3NP,10007016964,Yes,LAL,,,,10:00-17:00,,10:00-17:00,,10:00-13:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/gobowen-library/,Gobowen.Library@shropshire.gov.uk
Shropshire Council,Highley,"Severn Centre, Bridgnorth Road",Highley,Shropshire,WV16 6JG,,Yes,CL,,,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-19:00,09:00-16:00,09:00-16:00,,,,,,,,,Yes,Parish Council,,http://new.shropshire.gov.uk/libraries/find-a-library/highley-library/,Highley.Library@shropshire.gov.uk
Shropshire Council,Library at the Lantern,Meadow Farm Drive,Shrewsbury,Shropshire,SY1 4NG,100071403326,Yes,LAL,,,,10:00-17:00,,10:00-17:00,10:00-17:00,09:30-13:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/library-at-the-lantern/,Shrewsbury.Library@shropshire.gov.uk
Shropshire Council,Ludlow,7-9 Parkway,Ludlow,Shropshire,SY8 2PG,10012075796,Yes,LAL,,,09:30-18:00,09:30-17:00,09:30-17:00,,09:30-17:00,09:30-13:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/ludlow-library/,Ludlow.Library@shropshire.gov.uk
Shropshire Council,Market Drayton,Cheshire Street,Market Drayton,Shropshire,TF9 1PH,,Yes,LAL,,,09:30-18:00,09:30-17:00,09:30-17:00,,09:30-17:00,09:30-13:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/ludlow-library/,MarketDrayton.Library@shropshire.gov.uk
Shropshire Council,Much Wenlock,"The Corn Exchange, High Street",Much Wenlock,Shropshire,TF13 6AE,200003849542,Yes,LAL,,,,09:30-17:00,,09:30-17:00,,09:30-13:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/much-wenlock-library/,MuchWenlock.Library@shropshire.gov.uk
Shropshire Council,Oswestry,Arthur Street,Oswestry,Shropshire,SY11 1JN,100071532779,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-18:00,09:30-17:00,09:30-17:00,09:30-16:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/oswestry-library/,Oswestry.Library@shropshire.gov.uk
Shropshire Council,Pontesbury,Bogey Lane,Shrewsbury,Shropshire,SY5 0TD,100071539549,Yes,LAL,,2020,10:00-13:00,10:00-17:00,,14:00-17:00,,10:00-13:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/pontesbury-library/,Shrewsbury.Library@shropshire.gov.uk
Shropshire Council,Pontesbury,"The Pavilion, Hall Bank",Pontesbury,Shropshire,SY5 0RF,,Yes,LAL,2020,,,,,,,,,,,,,,,,,Yes,,,,Pontesbury.Library@shropshire.gov.uk
Shropshire Council,Shawbury,"Parish Hall, Church Street",Shawbury,Shropshire,SY4 4NH,,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,Shawbury.Library@shropshire.gov.uk
Shropshire Council,Shifnal,Broadway,Shifnal,Shropshire,TF11 8AZ,,Yes,CL,,,14:00-18:00,,10:00-18:00,,10:00-17:00,09:30-13:00,,,,,,,,,,Yes,Town Council,,http://new.shropshire.gov.uk/libraries/find-a-library/shifnal-library/,Shifnal.Library@shropshire.gov.uk
Shropshire Council,Shrewsbury,Castle Gates,Shrewsbury,Shropshire,SY1 2AS,100071531030,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/shrewsbury-library/,Shrewsbury.Library@shropshire.gov.uk
Shropshire Council,Wem,"Talbot House, High Street",Wem,Shropshire,SY4 5AA,,Yes,LAL,,,,10:00-17:00,,10:00-17:00,14:00-17:00,09:30-13:00,,,,,,,,,,No,,,http://new.shropshire.gov.uk/libraries/find-a-library/wem-library/,Wem.Library@shropshire.gov.uk
Shropshire Council,Whitchurch,High Street,Whitchurch,Shropshire,SY13 1AX,,Yes,LAL,,,09:30-17:00,09:30-18:00,,09:30-17:00,09:30-17:00,09:30-13:00,,,,,,,,,,Yes,,,http://new.shropshire.gov.uk/libraries/find-a-library/whitchurch-library/,whitchurch.library@shropshire.gov.uk
