Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Solihull Metropolitan Borough Council,Balsall Common,283 Kenilworth Road,Balsall Common,West Midlands,CV7 7EL,200003834369,Yes,LAL,,,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00",,"10:00-13:00,14:00-18:00",14:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/balsallcommonlibrary,libraryarts@solihull.gov.uk
Solihull Metropolitan Borough Council,Castle Bromwich,Hurst Lane North,Castle Bromwich,West Midlands,B36 0EY,200003827864,No,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 1-2pm on Tues & Fri,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/castlebromwichlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Chelmsley Wood,Chelmsley Wood Shopping Centre,Chelmsley Wood,West Midlands,B37 5TN,10023647341,No,LAL,,,09:30-19:00,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/chelmsleywoodlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Dickens Heath,Old Dickens Heath Road,Solihull,West Midlands,B90 1SD,10008207273,No,LAL,,,14:00-18:00,14:00-17:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Parish Council,Closed 1-2pm on Thurs & Sat,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/dickensheathlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Elmwood Place,"Elmwood Place, 37 Burtons Way",Birmingham,West Midlands,B36 0UG,10090946409,Yes,LAL-,2015,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,???,Self-service library,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/smithswoodneighbourhoodlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Hampton-in-Arden,Fentham Road,Hampton-in-Arden,West Midlands,B92 0AY,200003829766,No,LAL,,,00:00-00:00,10:00-18:00,00:00-00:00,00:00-00:00,13:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 12-1pm on Tues,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/hamptoninardenlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Hobs Moat,Ulleries Road,Solihull,West Midlands,B92 8EB,100071490296,No,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-18:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/hobsmoatlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Kingshurst,Marston Drive,Kingshurst,West Midlands,B37 6BD,100071460436,Yes,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-18:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,"Closed 1-2pm Mon, Tue, Thur, Fri",https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/kingshurstlibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Knowle,"Chester House, 1667 High Street",Knowle,West Midlands,B93 0LL,100071364475,Yes,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-18:00,10:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Staffed by volunteers on Sat 1-3pm,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/knowlelibrary,libraries@solihull.gov.uk
Solihull Metropolitan Borough Council,Marston Green,Land Lane,Marston Green,West Midlands,B37 7DQ,100071461399,Yes,LAL,,,10:00-18:00,00:00-00:00,10:00-13:00,10:00-18:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 1-2pm on Mon & Thurs. Staffed in partnership with Adult Social Care Wed 11am-2pm,https://www.solihull.gov.uk/Resident/Libraries/Find-a-library/marstongreenlibrary,libraries@solihull.gov.uk
