Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Somerset County Council,Bishops Lydeard,Church Street,Bishops Lydeard,Somerset,TA4 3AT,10002702572,Yes,CRL,,,10:00-16:00,00:00-00:00,10:00-16:00,00:00-00:00,10:00-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,bldlib@somerset.gov.uk
Somerset County Council,Bridgwater,Binford Place,Bridgwater,Somerset,TA6 3LF,10009323322,No,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:00,09:30-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,brwlib@somerset.gov.uk
Somerset County Council,Bruton,Quaperlake Street,Bruton,Somerset,BA10 0HA,30006359,Yes,CRL,,,00:00-00:00,14:00-17:00,00:00-00:00,10:00-13:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,brulib@somerset.gov.uk
Somerset County Council,Burnham-on-Sea,Princess Street,Burnham-on-Sea,Somerset,TA8 1EH,100041067213,No,LAL,,,10:00-17:00,10:00-17:00,10:00-13:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,bhmlib@somerset.gov.uk
Somerset County Council,Castle Cary,Bailey Hill,Castle Cary,Somerset,BA7 7AA,30007582,Yes,CRL,,,00:00-00:00,10:00-16:30,10:00-16:30,00:00-00:00,10:00-16:30,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,ccylib@somerset.gov.uk
Somerset County Council,Chard,Holyrood Lace Mill,Chard,Somerset,TA20 2YA,30070738,No,LAL,,,09:30-16:30,09:30-16:30,00:00-00:00,09:30-17:00,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Distric Council,,http://www.somerset.gov.uk/libraries-and-heritage/,chalib@somerset.gov.uk
Somerset County Council,Cheddar,Union Street,Cheddar,Somerset,BS27 3NB,200000450476,No,LAL,,,10:00-17:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.somerset.gov.uk/libraries-and-heritage/,chelib@somerset.gov.uk
Somerset County Council,Crewkerne,Falkirk Square,Crewkerne,Somerset,TA18 7JS,30501479,No,LAL,,,09:30-13:30,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,National Park,,http://www.somerset.gov.uk/libraries-and-heritage/,crwlib@somerset.gov.uk
Somerset County Council,Dulverton,7-9 Fore Street,Dulverton,Somerset,TA22 9EX,10023837345,No,LAL,,,00:00-00:00,10:00-16:00,00:00-00:00,10:00-16:00,10:00-16:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,National Park,,http://www.somerset.gov.uk/libraries-and-heritage/,dullib@somerset.gov.uk
Somerset County Council,Frome,Justice Lane,Frome,Somerset,BA11 1BE,250049973,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,District Council,,http://www.somerset.gov.uk/libraries-and-heritage/,frolib@somerset.gov.uk
Somerset County Council,Glastonbury,"1 Orchard Court, The Archers Way",Glastonbury,Somerset,BA6 9JB,250061448,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,District Council,,http://www.somerset.gov.uk/libraries-and-heritage/,glalib@somerset.gov.uk
