Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
South Gloucestershire Council,Bradley Stoke,Fiddlers Wood Lane,Bradley Stoke,South Gloucestershire,BS32 9BS,642613,Yes,LAL,,,08:00-21:30,08:00-21:30,08:00-21:30,08:00-21:30,08:00-21:30,08:00-18:00,08:00-18:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Leisure Centre,,https://www.southglos.gov.uk/libraries/bradley-stoke-library/,bradleystoke.library@southglos.gov.uk
South Gloucestershire Council,Cadbury Heath,School Road,Cadbury Heath,South Gloucestershire,BS30 8EN,540375,Yes,LAL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.southglos.gov.uk/libraries/cadbury-heath-library/,cadburyheath.library@southglos.gov.uk
South Gloucestershire Council,Chipping Sodbury,High Street,Chipping Sodbury,South Gloucestershire,BS37 6AH,664899,Yes,CRL,,,00:00-00:00,09:30-16:30,09:30-18:30,00:00-00:00,09:30-12:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Centre,,https://www.southglos.gov.uk/libraries/chipping-sodbury-library/,libraries@southglos.gov.uk
South Gloucestershire Council,Downend,Buckingham Gardens,Downend,South Gloucestershire,BS16 5TW,535241,Yes,LAL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.southglos.gov.uk/libraries/downend-library/,downend.library@southglos.gov.uk
South Gloucestershire Council,Emersons Green,Emerson Way,Emersons Green,South Gloucestershire,BS16 7AP,648355,Yes,LAL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.southglos.gov.uk/libraries/emersons-green-library/,emersonsgreen.library@southglos.gov.uk
South Gloucestershire Council,Filton,"The Shield Retail Park, Link Road",Filton,South Gloucestershire,BS34 7BR,506202,Yes,LAL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.southglos.gov.uk/libraries/filton-library/,filton.library@southglos.gov.uk
South Gloucestershire Council,Hanham,High Street,Hanham,South Gloucestershire,BS15 3EJ,516048,Yes,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.southglos.gov.uk/libraries/hanham-library/,hanham.library@southglos.gov.uk
South Gloucestershire Council,Hawkesbury Community Library,"Hawkesbury Hospital Hall, High Street",Hawkesbury Upton,South Gloucestershire,GL9 1AU,599490,Yes,CRL,2017,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,14:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Centre,Open fortnightly (3 hours),https://www.southglos.gov.uk/libraries/hawkesbury-community-library/,hawkesburyuptonlibrary@gmail.com
South Gloucestershire Council,Kingswood,"Civic Centre, High Street",Kingswood,South Gloucestershire,BS15 9TR,526653,Yes,LAL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Council Offices,,https://www.southglos.gov.uk/libraries/kingswood-library/,kingswood.library@southglos.gov.uk
South Gloucestershire Council,Marshfield Community Library,"Marshfiled Community Centre, The Hayfield",Nr Chippenham,Wiltshire,SN14 8PG,584771,Yes,CRL,2017,,00:00-00:00,00:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Cena,,https://www.southglos.gov.uk/libraries/marshfield-community-library/,marshfieldlibrary@outlook.com
