Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
South Lanarkshire Council,Biggar Library,Market Road,,Biggar ,ML12 6FX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/74/biggar_library/142/contact_details,
South Lanarkshire Council,Blackwood & Kirkmuirhill Library,Blackwood Primary School ,,Carlisle Road,ML11 9SB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/453/blackwood_and_kirkmuirhill,
South Lanarkshire Council,Blantyre Library,1A Clydeview Shopping Centre ,,Glasgow Road ,G72 0QD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/75/blantyre_library/155/contact_details,
South Lanarkshire Council,Bothwell Lilbrary,The Donald Institute ,,2 Main Street ,G71 8RG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/76/bothwell_library,
South Lanarkshire Council,Burnbank Library,Burnbank Centre,,76 Burnbank Road ,ML3 0NA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/77/burnbank_library/166/contact_details,
South Lanarkshire Council,Cambuslang Library,Cambuslang Gate ,,27 Main Street ,G72 7EX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/79/cambuslang_library,
South Lanarkshire Council,Carluke Library,Carnwath Road,,Carluke ,ML8 4DF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/80/carluke_library,
South Lanarkshire Council,Cathkin Library,21 Lovat Place ,,Cathkin ,G73 5HS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/81/cathkin_library,
South Lanarkshire Council,East Kilbride Library,The Olympia Shopping Centre,,East Kilbride,G74 1PG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/82/east_kilbride_library,
South Lanarkshire Council,Fairhill Library,South Lanarkshire Lifestyles Fairhill,,Neilsland Road ,ML3 8HJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/83/fairhill_library,
South Lanarkshire Council,Forth Library,Forth Primary School ,,Main Street ,ML11 8AE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/84/forth_library,
South Lanarkshire Council,Greenhills Library,Greenhills Square ,,East Kilbride ,G75 8TT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/85/greenhills_library,
South Lanarkshire Council,Halfway Library,211 Hamilton Road,,Halfway,G72 7PJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/86/halfway_library,
South Lanarkshire Council,Hamilton Town House Library,102 Cadzow Street ,,Hamilton,ML3 6HH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/87/hamilton_town_house_library,
South Lanarkshire Council,Hillhouse Library,Hillhouse Road,,Hamilton,ML3 9TX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/88/hillhouse_library,
South Lanarkshire Council,Lanark Library,16 Hope Street,,Lanark,ML11 7LZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/89/lanark_library,
South Lanarkshire Council,Larkhall Library,Larkhall Area Office ,,30 Union Street ,ML9 1DR,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/90/larkhall_library,
South Lanarkshire Council,Lesmahagow Library ,48 Abbeygreen,,Lesmahagow,ML11 0EF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/91/lesmahagow_library,
South Lanarkshire Council,Rutherglen Library,163 Main Street,,Rutherglen,G73 2HB,484129723,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/92/rutherglen_library,
South Lanarkshire Council,St Leonards Library,St Leonards Square,,East Kilbride,G74 2AT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/93/st_leonards_library,
South Lanarkshire Council,Stonehouse Library,2 Udston Mill Road,,Stonehouse,ML9 3JL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/94/stonehouse_library,
South Lanarkshire Council,Strathaven Library,Glasgow Road,,Strathaven,ML10 6LZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/95/strathaven_library,
South Lanarkshire Council,Uddingston Library,51 Bellshill Road,,Uddingston,G71 7PA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.slleisureandculture.co.uk/info/97/uddingston_library,
