Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
South Tyneside Council,Boldon Lane,Boldon Lane,South Shields,Tyne and Wear,NE34 0LZ,,No,CRL,2019,,,,,,,,,,,,,,,,,Yes,,,,info@actionstation.org.uk
South Tyneside Council,Chuter Ede Library Access Point,,,,NE34 9UG,,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
South Tyneside Council,Cleadon Park,10 Prince Edward Road,South Shields,Tyne and Wear,NE34 7QD,,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-13:00,,,,,,,,,,Yes,,,,library.support@southtyneside.gov.uk
South Tyneside Council,East Boldon (renamed Boldon and Cleadon Community Library),Boker Lane,East Boldon,Tyne and Wear,NE36 0RY,,No,CRL,2018,,,,,,,,,,,,,,,,,No,,,,info@thelibrary.uk.com
South Tyneside Council,Hebburn,,,,NE31 1PN,,Yes,LAL,,2015,,,,,,,,,,,,,,,,No,,,,
South Tyneside Council,Jarrow,Cambrian Street,Jarrow,Tyne and Wear,NE32 3QN,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
South Tyneside Council,Jarrow Focus Library,Cambrian Street,Jarrow,Tyne and Wear,NE32 3QN,,No,LAL,2019,,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-17:00,10:00-16:00,,,,,,,,,,No,,,,
South Tyneside Council,Library at Hebburn Central,"Hebburn Central, Glen Street",Hebburn,Tyne and Wear,NE31 1PN,,No,LAL,2018,,09:30-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-17:00,10:00-16:00,,,,,,,,,,No,,,,
South Tyneside Council,Perth Green Community Library,Inverness Road,Jarrow,Tyne and Wear,NE32 4AQ,,No,CRL,2015,,,,,,,,,,,,,,,,,Yes,,,,pgca@perthgreenca.org.uk
South Tyneside Council,Primrose Library,Glasgow Road,Jarrow,Tyne and Wear,NE32 4AU,,Yes,LAL,,2018,,,,,,,,,,,,,,,,No,,,,
South Tyneside Council,South Shields Central Library,Prince George Square,South Shields,Tyne and Wear,NE33 2PE,100000526980,Yes,LAL,,1900,,,,,,,,,,,,,,,,No,,,,
South Tyneside Council,The Word Library,45 Market Place,South Shields,Tyne and Wear,NE33 1JF,,Yes,LAL,2016,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,10:00-16:00,10:00-16:00,,,,,,,,,Yes,,,,library.support@southtyneside.gov.uk
South Tyneside Council,Whitburn,Mill Lane,Whitburn,Tyne and Wear,SR6 7EN,,No,CRL,,,,,,,,,,,,,,,,,,No,,,,info@whitburnlibrary.co.uk
