Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
St Helens Council,Billinge Library,Main Street,Billinge,Merseyside,WN5 7HA,,Yes,LAL,,,13:00-19:00,,13:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,billingelibrary@sthelens.gov.uk
St Helens Council,Central Library St. Helens,Victoria Square,St. Helens,Merseyside,WA10 1DY,,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,Closed due to building issues,,
St Helens Council,Chester Lane Library,Four Acre Lane,Clock Face,Merseyside,WA9 4DE,,Yes,LAL,,,10:00-19:00,10:00-19:00,13:00-19:00,,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,chesterlanelibrary@sthelens.gov.uk
St Helens Council,Eccleston Library,Broadway,Eccleston,Merseyside,WA10 5PJ,,Yes,LAL,,,13:00-19:00,10:00-19:00,13:00-19:00,10:00-17:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,,,ecclestonlibrary@sthelens.gov.uk
St Helens Council,Garswood Library,School Lane,Garswood,Merseyside,WN4 0TT,,Yes,LAL,,,13:00-19:00,,13:00-17:00,13:00-19:00,,10:00-13:00,,,,,,,,,,No,,,,garswoodlibrary@sthelens.gov.uk
St Helens Council,Haydock Library,Church Road,Haydock,Merseyside,WA11 0LY,,Yes,LAL,,,10:00-19:00,,10:00-19:00,10:00-19:00,13:00-19:00,10:00-13:00,,,,,,,,,,No,,,,haydocklibrary@sthelens.gov.uk
St Helens Council,Moss Bank Library,Bowness Avenue,Moss Bank,Merseyside,WA11 7EQ,,No,LAL,,,13:00-19:00,10:00-19:00,,10:00-17:00,10:00-19:00,10:00-13:00,,,,,,,,,,No,,,,mossbanklibrary@sthelens.gov.uk
St Helens Council,Newton-le-Willows Library,Crow Lane East,Newton,Merseyside,WA12 9TU,,Yes,LAL,,,10:00-17:00,,13:00-19:00,13:00-19:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,newtonlewillowslibrary@sthelens.gov.uk
St Helens Council,Parr Library,Fleet Lane,Parr,Merseyside,WA9 1SY,,Yes,LAL,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,parrlibrary@sthelens.gov.uk
St Helens Council,Peter Street Library,Peter Street,St. Helens,Merseyside,WA10 2EQ,,Yes,LAL,,,13:00-17:00,13:00-17:00,10:00-17:00,10:00-13:00,13:00-17:00,,,,,,,,,,,No,,,,peterstreetlibrary@sthelens.gov.uk
St Helens Council,Rainford Library,Church Road,Rainford,Merseyside,WA11 8HA,,Yes,LAL,,,13:00-19:00,13:00-17:00,,10:00-13:00,13:00-19:00,10:00-13:00,,,,,,,,,,No,,,,rainfordlibrary@sthelens.gov.uk
St Helens Council,Rainhill Library,View Road,Rainhill,Merseyside,L35 0LE,,Yes,LAL,,,13:00-19:00,13:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,rainhilllibrary@sthelens.gov.uk
St Helens Council,Thatto Heath Library,Thatto Heath Road,Thatto Heath,Merseyside,WA10 3QX,,Yes,LAL,,,10:00-19:00,10:00-19:00,10:00-17:00,,13:00-19:00,10:00-13:00,,,,,,,,,,No,,,,thattoheathlibrary@sthelens.gov.uk
