Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Stockton-on-Tees Borough Council,Billingham Library,Bedale Avenue,Billingham,Stockton-on-Tees,TS23 1AJ,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Stockton-on-Tees Borough Council,Billingham Library & Customer Service Centre,Billingham Town Centre,Stockton,Stockton-on-Tees,TS23 2LN,,Yes,LAL,2014,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-16:30,09:30-12:30,,,,,,,,,,Yes,SBC Customer Services Centre &Billingham Town Council,New building replaced two adjacent branch libraries in Billingham,,billingham.library@stockton.gov.uk 
Stockton-on-Tees Borough Council,Egglescliffe Library,Butterfield Drive,Eaglescliffe,Stockton-on-Tees,TS16 0EL,,Yes,LAL,,2017,,,,,,,,,,,,,,,,No,,Egglescliffe Library was closed due to proximity to Yarm library and now served by mobile library and community based collections,,egglescliffe.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Fairfield Library,Fairfield Road,Stockton,Stockton-on-Tees,TS19 7AJ,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,,,,,,,,,,,Yes,Private Nursery,Fairfield branch was reduced in size and colocated with a private nursery,,fairfield.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Ingleby Barwick Library,Blair Avenue,Ingleby Barwick,Stockton-on-Tees,TS17 5BL,,Yes,LAL,,,13:00-20:00,13:00-20:00,13:00-20:00,13:00-20:00,13:00-20:00,09:00-17:00,11:00-16:00,,,,,,,,,Yes,Secondary School (IB Leisure Centre from Summer 2020),"Ingleby Barwick Library is moving to a larger, purpose built space in the new Leisure Facility building in Summer 2020",,inglebybarwick.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Norton Library,87 High Street,Norton,Stockton-on-Tees,TS20 1AE,,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-13:00,,,,,,,,,,No,,,,norton.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Ragworth Neighbourhood Centre Library,St. John's Way,Stockon,Stockton-on-Tees,TS19 0FB,,Yes,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
Stockton-on-Tees Borough Council,Rosebery Library,The Causeway,Billingham,Stockton-on-Tees,TS23 2LB,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Stockton-on-Tees Borough Council,Roseworth Library,Redhill Road,Stockton-on-Tees,County Durham,TS19 9BX,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Stockton-on-Tees Borough Council,Roseworth Library (Redhill Children's Centre),Redhill Road,Stockton-on-Tees,County Durham,TS19 9BX,,No,LAL,2014,,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:00,,,,,,,,,,,Yes,Family Hub,Roseworth Library was colocated into a nearby Children's Centre in 2014,,roseworth.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Stockton Central Library & Customer Service Centre,The Square,Stockton,Stockton-on-Tees,TS18 1TU,,Yes,LAL,,,08:30-18:00,08:30-20:00,08:30-18:00,08:30-20:00,08:30-18:00,09:30-16:00,,,,,,,,,,Yes,SBC Customer Services Centre,Stockton Central Library is colocated with Customer Services and other Council facilities,,stockton.library@stockton.gov.uk 
Stockton-on-Tees Borough Council,Thornaby Central Library & Customer Service Centre,Wrightson House,Thornaby,Stockton-on-Tees,TS17 7EW,,Yes,LAL,,,08:30-17:00,08:30-19:00,08:30-17:00,08:30-19:00,08:30-17:00,09:30-16:00,,,,,,,,,,Yes,SBC Customer Services Centre,Thornaby Central Library is colocated with a Customer Services Centre in Thornaby Town Centre.,,thornaby.central.library@stockton.gov.uk
Stockton-on-Tees Borough Council,Thornaby Library,Westbury Street,Thornaby,Stockton-on-Tees,TS17 6PG,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Stockton-on-Tees Borough Council,"Thornaby Library, Gilmour Street (Riverbank Children's Centre)",Gilmour Street,Thornaby,Stockton-on-Tees,TS17 6PF,,Yes,LAL,2014,,09:00-16:15,09:00-16:15,09:00-16:15,09:00-16:15,09:00-16:00,,,,,,,,,,,Yes,Children's Centre,Thornaby Library was colocated with a Children's Centre in 2014,,thornaby.library@stockton.gov.uk 
Stockton-on-Tees Borough Council,Yarm Library,41 The High Street,Yarm,Stockton-on-Tees,TS15 9BH,,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-13:00,,,,,,,,,,Yes,Newcastle Building Society,Yarm Library shares its site with a small branch of Newcastle Building Society.,,yarm.library@stockton.gov.uk
