Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Stoke-on-Trent City Council,Abbey Hulton (Book Collection),Greasley Road,Abbey Hulton,Staffordshire,ST2 8JE,,Yes,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Ball Green (book collection),121 Wilding Road,Stoke-on-Trent,Staffordshire,ST6 8BQ,,Yes,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Bentilee Library,Dawlish Drive,Stoke-on-Trent,Staffordshire,ST2 0EU,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,"In Neighbourhood Centre Building, Containing NHS & Other Services",,https://www.stoke.gov.uk/libraries,bentilee.library@stoke.gov.uk
Stoke-on-Trent City Council,Blurton Hub (Book Collection),"Ingestre Square, Finstock Avenue",Stoke-on-Trent,Staffordshire,ST3 3JT,,No,LAL,,2019,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Burslem Library,,,,ST6 3EF,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,City Central Library (Hanley),Bethesda Street,Stoke-on-Trent,Staffordshire,ST1 3RS,3455121574,No,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Proposal to relocate library to retail unit in nearby building,https://www.stoke.gov.uk/libraries,central.library@stoke.gov.uk
Stoke-on-Trent City Council,Fenton Hub (Book Collection),28a Christchurch Street,Fenton,Staffordshire,ST4 3AN,,No,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Fenton Library,Baker Street,Stoke-on-Trent,Staffordshire,ST4 3AF,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Haywood Library,,,,ST6 7AH,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stoke-on-Trent City Council,Kingsland Early Years,,,,,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
