Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Suffolk County Council,Aldeburgh,Victoria Road,Aldeburgh,Suffolk,IP15 5EG,,Yes,CL,,,09:00-13:00,09:00-13:00,09:00-18:00,09:00-13:00,09:00-13:00,10:00-15:30,10:00-15:30,,,,,,,,,No,,,,help@suffolklibraries.co.uk
Suffolk County Council,Beccles,Blyburgate,Beccles,Suffolk,NR34 9TB,,Yes,CL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-19:30,09:30-17:00,10:00-16:00,,,,,,,,,Yes,,,,help@suffolklibraries.co.uk
Suffolk County Council,Brandon,Bury Road,Brandon,Suffolk,IP27 0BQ,,Yes,CL,2013,,,10:00-17:30,10:00-15:00,10:00-17:30,10:00-18:00,10:00-17:00,10:00-15:00,,,,,,,,,Yes,Range of Services,Community hub with other servcies,,help@suffolklibraries.co.uk
Suffolk County Council,Broomhill,Sherrington Road,Ipswich,Suffolk,IP1 4HT,,Yes,CL,,,09:30-12:30,09:30-17:00,09:30-17:00,09:30-17:00,09:30-18:30,10:00-17:00,11:00-16:00,,,,,,,,,No,,,,help@suffolklibraries.co.uk
Suffolk County Council,Bungay,Wharton Street,Bungay,Suffolk,NR35 1EL,,Yes,CL,,,09:00-14:30,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,,,,,,,No,,,,help@suffolklibraries.co.uk
Suffolk County Council,Bury St. Edmunds,"Sergeants Walk, St. Andrews Street North",Bury St. Edmunds,Suffolk,IP33 1TZ,,Yes,CL,,,08:30-17:30,08:30-19:30,08:30-17:30,08:30-17:30,08:30-19:30,08:30-17:00,10:00-16:00,,,,,,,,,Yes,Children's Centre,Children's centre within library building (access through library),,help@suffolklibraries.co.uk
Suffolk County Council,Capel St Mary,"Village Hall, The Street",Capel St. Mary,Suffolk,IP9 2EP,,Yes,CL,,,,09:30-17:30,09:30-12:30,09:30-12:30,14:00-19:30,09:00-15:00,10:00-15:00,,,,,,,,,Yes,Community Centre,Library within the building,,help@suffolklibraries.co.uk
Suffolk County Council,Chantry,Hawthorn Drive,Ipswich,Suffolk,IP2 0QY,,Yes,CL,,,,09:30-17:30,09:30-12:30,09:30-12:30,14:00-19:30,09:00-15:00,10:00-15:00,,,,,,,,,Yes,Children's Centre,Chidren's centre on same site with access through library,,help@suffolklibraries.co.uk
Suffolk County Council,Clare,"The Guildhall, High Street",Clare,Suffolk,CO10 8NY,,Yes,CL,,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-13:00,10:00-14:00,,,,,,,,,No,,,,help@suffolklibraries.co.uk
Suffolk County Council,Debenham Library,Debenham Resource Centre,Stowmarket,Suffolk,IP14 6RW,,Yes,CL,,2016,,09:30-13:00,15:00-19:30,,,09:00-13:00,12:00-16:00,,,,,,,,,Yes,Primary School,Library attached to school but not joint use.,,
