Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Swindon Borough Council,Beechcroft Library,Beechcroft Road,Swindon,Wiltshire,SN2 7QQ,,No,CRL,,,09:00-12:30,09:30-16:00,09:30-16:00,09:30-15:00,09:30-16:00,10:00-13:00,,,,,,,,,,No,,Run by Stratton Parish Council since September 2017,https://strattonstmargaret.gov.uk/beechcroft-library,beechcroft.library@strattonstmargaret.gov.uk
Swindon Borough Council,Blunsdon Community Book Collection,"Blunsdon Village Hall, High Street",Swindon,Wiltshire,SN26 7AR,,No,LAL,,2015,,,,,,,,,,,,,,,,No,,,,
Swindon Borough Council,Covingham Library,St. Paul's Drive,Covingham,Wiltshire,SN3 5BY,,Yes,CRL,,,,14:00-16:00,13:00-17:00,10:00-12:00,,,,,,,,,,,,No,,Run by Swindon Community Library Trust since  September 2017,,covingham.library@gmail.com
Swindon Borough Council,Even Swindon Library,Jennings Street,Swindon,Wiltshire,SN2 2BG,,Yes,CRL,,,10:00-13:00,,13:00-17:00,14:00-19:00,,09:30-12:30,,,,,,,,,,No,,Run by Swindon Central North Parish since September 2017 and now a separate trust,https://centralswindonnorth-pc.gov.uk/parish-libraries,libraries@centralswindonnorth-pc.gov.uk
Swindon Borough Council,Gorse Hill Community Book Collection,Cricklade Road,Swindon,Wiltshire,SN2 1AA,,No,LAL,,2010,,,,,,,,,,,,,,,,No,,,,
Swindon Borough Council,Grange Community Book Collection,"Grange Leisure Centre, Grange Drive",Swindon,Wiltshire,SN3 4JY,,Yes,CRL,,,,,,,,,,,,,,,,,,No,,Run by Stratton Parish Council since September 2017 and not sure if deposit collection still in operation,,beechcroft.library@strattonstmargaret.gov.uk
Swindon Borough Council,Highworth Library,Brewery Street,Swindon,Wiltshire,SN6 7AJ,,No,LAL,,,10:00-14:00,14:00-18:00,,12:00-16:00,,10:00-13:00,,,,,,,,,,No,,,http://www.swindon.gov.uk/libraries,ajordan@swindon.gov.uk
Swindon Borough Council,Liden Library,Barrington Close,Swindon,Wiltshire,SN3 6HF,,Yes,CRL,,,09:00-16:00,09:00-13:30,09:00-13:30,10:00-13:00,,,,,,,,,,,,No,,Run by Swindon Community Library Trust since 2017,,liden.library@gmail.com
Swindon Borough Council,Moredon and Rodbourne Cheney Library,Church Walk North,Swindon,Wiltshire,SN25 3DJ,,Yes,CRL,,,14:00-17:00,10:00-13:00,,14:00-17:00,10:00-13:00,10:00-13:00,,,,,,,,,,No,,Run by Swindon North Central Parish since September 2017 and now a separate trust,https://www.centralswindonnorth-pc.gov.uk/parish-libraries/,libraries@centralswindonnorth-pc.gov.uk
Swindon Borough Council,North Swindon Library,Thamesdown Drive,Swindon,Wiltshire,SN25 4AN,,No,LAL,,,14:00-18:00,,10:00-14:00,,12:00-16:00,13:00-16:00,,,,,,,,,,No,,,http://www.swindon.gov.uk/libraries,ajordan@swindon.gov.uk
