Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
The Highland Council,Achilltibuie Library,Coigach Community Hall, Achiltibuie IV26 2YG,,IV26 2YG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Alness Library,High St,,Alness ,IV17 0QB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Ardersiere Library,Station Road,,Inverness,IV2 7SU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Ardnamurchan Community Library,Anaheilt,,Strontian,PH36 4JA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Aviemore Library,Muirton,,Aviemore,PH22 1SF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Badenoch Library,Badenoch Centre,,Spey Street,PH21 1EH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Beauly Library,Station Road,,,IV4 7EH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Bettyhill Library and Service Point,Naver Teleservice Centre,,BettyHill ,KW14 7SS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Bonar Bridge Library,West End,,Bonar Bridge,IV24 3EA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Broadford Library,Broadford,,Isle of Skye,IV49 9AB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Brora Library and Cultural Centre,Gower St,, Brora,KW9 6PD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Caol Library,Glenkingie St,,Caol,PH33 7DP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Cromarty Library,Hugh Miller Institute,,Church St,IV11 8XA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Culloden Library,Keppoch Rd,,Culloden,IV2 7LL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Dingwall Community Library,Dingwall,,IV15 9LT,IV15 9LT,130126152,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Dornoch Library,High St,,Dornoch,IV25 3SH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Fortrose Community Centre,Academy Street,,Fortrose ,IV10 8TW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Fort William Library,Airds Crossing,,2 High Street,PH33 6EU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Gairloch Community Library,Gairloch,,IV21 2BP,IV21 2BP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Glenurquhart Library and Learning Centre,Glenurquhart High School,,Drumnadrochit,IV63 6XA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Golspie Library,Back Road,,Sutherland,KW10 6RF,130015403,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Grantown on Spey Library,The Court House,,80 High St,PH26 3EL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Helmsdale Library,Dunrobin St,,Helmsdale,KW8 6JX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Inshes Library,Inshes Road,,Inverness,IV2 3RF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Invergordon Library,High Street ,,Invergordon,IV18 0DG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Inverness Library,Farraline Park,,Inverness,IV1 1NH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Kinlochleven Community Library,Riverside Rd,,Kinlochleven,PH50 4QH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Knoydart Library,The Store ,,Inverie,PH41 4PL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Kyle of Lochalsh Library,Kintail House,,Main Street,IV40 8AB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Lairg Library,Main St,,Lairg,IV27 4DD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Lochcarron Library,The Howard Doris Centre ,,Lochcarron,IV54 8UD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Mallaig Library,Mallaig & Morar Community Centre,,West Bay,PH41 4PX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Muir of Ord Library,Great North Road,,Muir of Ord,IV6 7RR,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Nairn Library,High Street,,Nairn,IV12 4BS,130029790,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Plockton Library,Village Hall,,Harbour Street,IV52 8TG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Portree Community Library,Viewfield Road ,,Portree,IV51 9ET,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Tain Library,Stafford St,,Tain,IV19 1AZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Thurso Library,Davidson's Lane,,Thurso ,KW14 7AF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Ullapool Community Library,Mill Street,,Ullapool,IV26 2UN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
The Highland Council,Wick Library,7 Newton Road ,,Wick,KW1 5SA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
