Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Thurrock Council,Aveley Library within Aveley Hub,Recreation Ground,High Street,Aveley,RM15 4BY,010093506117,Yes,LAL,,,10:00-17:00,"10:00-13:00,14:00-17:00",10:00-17:00,"10:00-13:00,14:00-17:00",10:00-17:00,,,,13:00-14:00,,13:00-14:00,,,,,Yes,Cummunity Hub and Private Nursery,,https://www.thurrock.gov.uk/libraries,aveley.library@thurrock.gov.uk
Thurrock Council,Belhus within South Ockendon Centre,Derry Avenue,South Ockendon,Essex,RM15 5DX,100091537072,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,Yes,Community Hub,,https://www.thurrock.gov.uk/libraries,belhus.library@thurrock.gov.uk
Thurrock Council,Blackshots,Blackshots Lane,Grays,Essex,RM16 2JU,100091537493,Yes,LAL,,,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00",,"10:00-13:00,14:00-17:00",,10:00-13:00,,,,,,,,,,No,,Closed for lunch 13.00-14.00,https://www.thurrock.gov.uk/libraries,blackshots.library@thurrock.gov.uk
Thurrock Council,Chadwell Information Centre,Brentwood Road,Chadwell St. Mary,Essex,RM16 4JP,200001553426,Yes,LAL,,,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00",,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00",10:00-13:00,,,,,,,,,,Yes,Community Hub,,https://www.thurrock.gov.uk/libraries,chadwell.library@thurrock.gov.uk
Thurrock Council,Corringham,St. Johns' Way,Corringham,Essex,SS17 7LJ,200001544060,Yes,LAL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,10:00-13:00,,,,"10:00-13:00,14:00-17:00",,,,,,No,,,https://www.thurrock.gov.uk/libraries,corringham.library@thurrock.gov.uk
Thurrock Council,East Tilbury Hub and Library,Princess Avenue,East Tilbury,Essex,RM18 8ST,100091539794,Yes,LAL,,,,"10:00-13:00,14:00-17:00",,"10:00-13:00,14:00-17:00",,10:00-13:00,,,,,,,,,,Yes,Heritage Centre & Community Hub,,https://www.thurrock.gov.uk/libraries,east.library@thurrock.gov.uk
Thurrock Council,Grays Central,Orsett Road,Grays,Essex,RM17 5DX,100091538305,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-13:00,,,,,,,,,,Yes,"Theatre, Local History Museum, Various Voluntary & Cultural Organisations",,https://www.thurrock.gov.uk/libraries,grays.library@thurrock.gov.uk
Thurrock Council,Purfleet Library within Purfleet Hub,53-54 River Court Centurion Way,Purfleet,Essex,RM19 1ZY,200001555372,Yes,CRL,2016,,,10:00-16:00,,,10:00-11:30,,,,,10:00-13:00,"10:00-13:00,14:00-16:00",,,,,Yes,Community Hub,,,
Thurrock Council,Stanford-le-Hope,High Street,Stanford-le-Hope,Essex,SS17 0HG,200001552221,Yes,LAL,,,,,"10:00-13:00,14:00-17:00",,,,,,,,,,,,,No,,,https://www.thurrock.gov.uk/libraries,stanford.le.hope.library@thurrock.gov.uk
Thurrock Council,Tilbury  Library within Tilbury Hub,Civic Square,Tilbury,Essex,RM18 8AD,100091539745,Yes,LAL,,,"10:00-13:00,14:00-17:00",,"10:00-13:00,14:00-17:00",,,,,,"10:00-13:00,14:00-17:00",,,"10:00-13:00,14:00-17:00",,,,Yes,Community Hub,,https://www.thurrock.gov.uk/libraries,tilbury.library@thurrock.gov.uk
