Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Warrington Borough Council,Bewsey & Dallam Library ,"Bewsey & Dallam Hub, Longshaw Street",Warrington,Cheshire,WA5 0DY,10094961913,Yes,CL,2021,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,,,,,,,,Yes,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Birchwood Library,Brock Road,Birchwood,Cheshire,WA3 7PT,100012805133,Yes,CL,1985,,10:00-13:00,15:00-16:00,10:00-13:00,,14:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Burtonwood Library,Chapel Lane,Burtonwood,Cheshire,WA5 4PS,100012806860,Yes,CL,1968,,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,09:00-13:00,,,,,,,,,,Yes,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Culcheth Library,Warrington Road,Culcheth,Cheshire,WA3 5SL,10008652210,Yes,CL,1965,,,,,,,,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Grappenhall Library,25 Albert Road,Grappenhall,Cheshire,WA4 2PE,100012805670,No,CRL,,,14:00-16:00,,10:00-12:00,10:00-12:00,,10:00-12:00,,,,,,,,,,No,,,https://friendsofgrappenhalllibrary.wordpress.com/,info@grappenhall.org.uk
Warrington Borough Council,Great Sankey Library,"Great Sankey Neighbourhood Hub, Barrowhall Lane ",Great Sankey,Cheshire,WA5 3AA,100012806802,Yes,CL,2017,,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-21:30,07:30-18:45,07:30-17:30,,,,,,,,,Yes,Leisure & Lifestyle Facilities,Access to the library is for all the time the hub building is open,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Great Sankey Library,,,,WA5 1JH,,Yes,LAL,,2011,,,,,,,,,,,,,,,,No,,,,
Warrington Borough Council,Lymm Library,Davies Way,Lymm,Cheshire,WA13 0QW,100012829002,Yes,CL,1968,,10:00-17:00,10:00-17:00,13:00-17:00,10:00-18:00,13:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Orford Park Library,"Orford Jubilee Neighbourhood Hub, Jubilee Way ",Orford,Cheshire,WA2 8HE,10092996464,Yes,CL,2012,,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-14:00,10:00-14:00,,,,,,,,Yes,"Leisure & Lifestyles Facilities, GP Surgeries, Chemist,PCSO , Creche, Cafï¿½",Access to the library is the whole of the hub opening times although only staffed the number of hours as indicated,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Padgate Library,Install Road,Padgate,Cheshire,WA2 0HD,200000977715,Yes,CL,1982,,10:00-17:00,10:00-17:00,14:00-17:00,10:00-18:00,,09:30-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Penketh Library,Honiton Way,Penketh,Cheshire,WA5 2EY,100012806760,Yes,CL,1968,,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00","10:00-13:00,14:00-18:00",,09:30-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Stockton Heath Library,Alexandra Park,Stockton Heath,Cheshire,WA4 2AN,200000980093,Yes,CL,,,10:00-17:00,10:00-18:00,,10:00-18:00,10:00-17:00,09:30-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Warrington Library,Museum Street,Warrington,Cheshire,WA1 1JG,200000973205,Yes,CL,1848,,,,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:00,11:00-15:00,,,,,,,,,Yes,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Westbrook Library,Westbrook Crescent,Westbrook,Cheshire,WA5 8UG,10008653053,Yes,CL,1988,,"10:00-13:00,14:00-17:00",14:00-17:00,,10:00-13:00,"10:00-13:00,14:00-18:00",10:00-13:00,,,,,,,,,,No,,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
Warrington Borough Council,Woolston Library,"Woolston Neighbourhood Hub, Hall Road",Woolston,Cheshire,WA1 4PN,10092996465,Yes,CL,2010,,13:00-18:00,13:00-18:00,13:00-18:00,10:00-14:00,10:00-13:00,,,,,,,,,,,Yes,Leisure & Lifestyles Facilities & GP Surgeries,,https://livewirewarrington.co.uk/library/our-libraries/,library3@livewirewarrington.org
