Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
West Sussex County Council,Angmering Library,Arundel Road,Angmering,West Sussex,BN16 4JS,,Yes,LAL,,,13:00-17:00,13:00-17:00,13:00-17:00,09:00-13:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/angmering-library,
West Sussex County Council,Arundel Library,Surrey Street,Arundel,West Sussex,BN18 9DT,,Yes,LAL,,,13:00-17:00,13:00-17:00,13:00-17:00,09:00-13:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/arundel-library,
West Sussex County Council,Billingshurst Library,Mill Lane,Billingshurst,West Sussex,RH14 9JZ,,No,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/billingshurst-library,
West Sussex County Council,Bognor Regis Library,London Road,Bognor Regis,West Sussex,PO21 1DE,,Yes,LAL,,,09:30-19:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/bognor-regis-library,
West Sussex County Council,Broadfield Library,46 Broadfield Barton,Broadfield,West Sussex,RH11 9BA,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/broadfield-library,
West Sussex County Council,Broadwater Library,Dominion Road,Broadwater,West Sussex,BN14 8JL,,Yes,LAL,,,13:00-17:00,13:00-17:00,13:00-17:00,09:00-13:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/broadwater-library,
West Sussex County Council,Burgess Hill Library,15 - 19 The Martlets,Burgess Hill,West Sussex,RH15 9NN,,Yes,LAL,,,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,10:00-16:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/burgess-hill-library,
West Sussex County Council,Chichester Library,Tower Street,Chichester,West Sussex,PO19 1QJ,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/chichester-library,
West Sussex County Council,Crawley Library,Southgate Avenue,Crawley,West Sussex,RH10 6HG,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/crawley-library,
West Sussex County Council,Durrington Library,Salvington Road,Durrington,West Sussex,BN13 2JD,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/durrington-library,
West Sussex County Council,East Grinstead Library,32-40 West Street,East Grinstead,West Sussex,RH19 4SR,100062489773,Yes,LAL,,,09:30-19:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/east-grinstead-library,
West Sussex County Council,East Preston Library,The Street,East Preston,West Sussex,BN16 1JJ,,Yes,LAL,,,13:00-17:00,10:00-17:00,13:00-17:00,10:00-14:00,10:00-14:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/east-preston-library,
West Sussex County Council,Ferring Library,Ferring Street,Ferring,West Sussex,BN12 5HL,,Yes,LAL,,,09:00-13:00,09:00-13:00,13:00-17:00,09:00-13:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/ferring-library,
West Sussex County Council,Findon Valley Library,Lime Tree Avenue,Findon Valley,West Sussex,BN14 0DH,,Yes,LAL,,,13:00-17:00,13:00-17:00,13:00-17:00,09:00-13:00,09:00-13:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/findon-valley-library,
West Sussex County Council,Goring Library,Mulberry Lane,Goring-by-Sea,West Sussex,BN12 4NR,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/goring-library,
West Sussex County Council,Hassocks Library,"Stafford House, Keymer Road",Hassocks,West Sussex,BN6 8QJ,,Yes,LAL,,,09:00-13:00,09:00-13:00,09:00-13:00,13:00-17:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/hassocks-library,
West Sussex County Council,Haywards Heath Library,34 Boltro Road,Haywards Heath,West Sussex,RH16 1BN,,Yes,LAL,,,09:30-19:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,09:30-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/haywards-heath-library,
West Sussex County Council,Henfield Library,off High Street,Henfield,West Sussex,BN5 9HN,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/henfield-library,
West Sussex County Council,Horsham Library,Lower Tanbridge Way,Horsham,West Sussex,RH12 1PJ,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,00:00-17:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/horsham-library,
West Sussex County Council,Hurstpierpoint Library,Trinity Road,Hurstpierpoint,West Sussex,BN6 9UY,,Yes,LAL,,,09:00-13:00,09:00-13:00,09:00-13:00,13:00-17:00,13:00-17:00,09:00-13:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/hurstpierpoint-library,
West Sussex County Council,Lancing Library,Penstone Park,Lancing,West Sussex,BN15 9DL,,Yes,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-16:00,,,,,,,,,,No,,,https://www.westsussex.gov.uk/find-my-nearest/library/details/api/type/library/view/lancing-library,
