Library name,Address 1,Postcode,URL
,9a Main Street ,EH25 9LD,https://www.midlothian.gov.uk/directory_record/65/roslin_library
,Castlegate,TD8 6AS,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/jedburgh_library_contact_centre(1).aspx
,Mayfield Centre,FK7 0DB,http://my.stirling.gov.uk/facilities/view/79
AK Bell Library,York Place,PH2 8EP,http://www.culturepk.org.uk/your-local-library/ak-bell-library/
Aberchirder Library,111 Main Street ,AB54 7TB,https://www.aberdeenshire.gov.uk/libraries/
Aberdeen Central Library,Rosemount Viaduct,AB25 1GW,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Aberdour Library,Aberdour Community Centre,KY3 0TR,http://onfife.com/venues/aberdour-library
Aberlour Library,94 High Street,AB38 9QA,http://www.moray.gov.uk/moray_standard/page_39958.html
Aboyne Library,Community Centre,AB34 5JN,https://www.aberdeenshire.gov.uk/libraries/
Abronhill Library,17 Pine Road,G67 3BE,https://culturenl.co.uk/libraries/your-library/abronhill-library/
Achilltibuie Library,Coigach Community Hall,IV26 2YG,https://www.highlifehighland.com/libraries/achiltibuie-library/
Airdrie Library,Wellwynd ,ML6 0AG,https://culturenl.co.uk/libraries/your-library/airdrie-library/
Airyhall Library,Springfield Road,AB15 7RF,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Alexandria Library,Gilmour Street,G83 0DA,http://www.west-dunbarton.gov.uk/libraries/library-branches/alexandria-library/
Alford Library,Alford Community Campus,AB33 8TY,https://www.aberdeenshire.gov.uk/libraries/
Alloa Speirs Centre,Primrose Place,FK10 1AD,http://www.clacksweb.org.uk/culture/alloaspeirscentre/
Alloway Library,Doonholm Road,KA7 4QQ,https://www.south-ayrshire.gov.uk/libraries/branches/alloway-library.aspx
Almondbank Library,Almondbank Centre,EH54 5EH,https://www.westlothian.gov.uk/article/2096/Almondbank-Library-Craigshill
Alness Library,High St,IV17 0QB,https://www.highlifehighland.com/libraries/alness-library/
Alva Community Centre Access Point,153 West Stirling Street,FK12 2EL,http://www.clacksweb.org.uk/culture/alvacap/
Alyth Library,Airlie Street,PH11 8AJ,http://www.culturepk.org.uk/your-local-library/alyth-library/
Annan Library,Charles Street ,DG12 5AG,http://www.dumgal.gov.uk/article/15393/DG-Customer-Services---Annan-Library
Anniesland Library,833 Crow Road,G13 1LE,http://www.glasgowlife.org.uk/libraries/your-local-library/anniesland-library/Pages/home.aspx
Arbroath Library,Hill Terrace ,DD11 1AH,http://www.angus.gov.uk/libraries
